Physiology trait,Host species,Time pt,Effect,SS,NumDf,DenDF,F,p
Biomass,M. capitata,T1,Treatment,1.35,1,11,0.68,0.43
,,TF,Treatment,0.08,1,12.15,0.05,0.83
,P. compressa,T1,Treatment,6.72,1,21,1.21,0.28
,,TF,Treatment,20.86,1,11,7.43,0.02*
,P. varians,T1,Treatment,3.16,1,11,1.42,0.26
,,TF,Treatment,12.6,1,11,6.71,0.03*
,P. acuta,T1,Treatment,0.82,1,5.72,0.58,0.48
,,TF,Treatment,0.03,1,22,0.01,0.92
Protein,M. capitata,T1,Treatment,0,1,22,0.05,0.82
,,TF,Treatment,0,1,6.65,0.14,0.72
,P. compressa,T1,Treatment,0.01,1,4.48,0.05,0.83
,,TF,Treatment,0,1,11,0.04,0.84
,P. varians,T1,Treatment,0.03,1,11,0.53,0.48
,,TF,Treatment,0.08,1,5.57,3.91,0.1
,P. acuta,T1,Treatment,0.03,1,11,2.43,0.15
,,TF,Treatment,0.27,1,11,6.86,0.02*
Calcification,M. capitata,T1,Treatment,0.01,1,32.27,1.4,0.24
,,TF,Treatment,0.01,1,11.39,2.03,0.18
,P. compressa,T1,Treatment,0.09,1,5.43,6.56,0.05
,,TF,Treatment,0.54,1,10.69,34.94,<0.01*
,P. varians,T1,Treatment,0.02,1,6.78,1.7,0.23
,,TF,Treatment,0.02,1,11,1.26,0.28
,P. acuta,T1,Treatment,0.01,1,33.71,0.2,0.65
,,TF,Treatment,0.13,1,5.49,8.09,0.03*
Algal Cell Counts,M. capitata,T1,Treatment,0,1,11,0.11,0.74
,,TF,Treatment,0.02,1,20,0.12,0.73
,P. compressa,T1,Treatment,1.38,1,11,16.96,<0.01*
,,TF,Treatment,0.8,1,10.85,6.99,0.02*
,P. varians,T1,Treatment,0.53,1,6,7.42,0.03*
,,TF,Treatment,1.91,1,11.11,10.41,0.01*
,P. acuta,T1,Treatment,0.9,1,11,8.81,0.01*
,,TF,Treatment,4.16,1,22,12.27,<0.01*
Chl-a,M. capitata,T1,Treatment,0.01,1,9.2,0.4,0.54
,,TF,Treatment,0.06,1,21,1.67,0.21
,P. compressa,T1,Treatment,0.38,1,5.76,9.91,0.02*
,,TF,Treatment,0.44,1,11,27.04,<0.01*
,P. varians,T1,Treatment,0.02,1,22,0.49,0.49
,,TF,Treatment,0.09,1,4.27,2.88,0.16
,P. acuta,T1,Treatment,0.2,1,4.82,17.91,0.01*
,,TF,Treatment,0.21,1,11,7.71,0.02*
Quantum yield,M. capitata,T1,Treatment,0.02,1,8.98,8.65,0.02*
,,TF,Treatment,0,1,8.48,0.01,0.91
,P. compressa,T1,Treatment,0.12,1,33.3,51.69,<0.01*
,,TF,Treatment,0,1,12.1,1.41,0.26
,P. varians,T1,Treatment,0.09,1,6.23,22.58,<0.01*
,,TF,Treatment,0,1,23,0.03,0.86
,P. acuta,T1,Treatment,0.33,1,7.54,35.9,<0.01*
,,TF,Treatment,0.7,1,13.2,50.1,<0.01*
Photosynthesis,M. capitata,T1,Treatment,0,1,13.61,4.72,0.05
,,TF,Treatment,0,1,13.45,0.36,0.56
,P. compressa,T1,Treatment,0,1,6.68,66.41,<0.01*
,,TF,Treatment,0,1,11.83,4.68,0.05
,P. varians,T1,Treatment,0,1,8.04,7.98,0.02*
,,TF,Treatment,0,1,5.47,1.72,0.24
,P. acuta,T1,Treatment,0,1,7.24,57.02,<0.01*
,,TF,Treatment,0,1,3.79,2.55,0.19
Respiration,M. capitata,T1,Treatment,0,1,11.1,16,<0.01*
,,TF,Treatment,0,1,1220.1,0,0.99
,P. compressa,T1,Treatment,0,1,8.07,9.94,0.01*
,,TF,Treatment,0,1,11.86,0.09,0.77
,P. varians,T1,Treatment,0,1,6.32,37.93,<0.01*
,,TF,Treatment,0,1,6.55,8.01,0.03*
,P. acuta,T1,Treatment,0,1,7.67,2.06,0.19
,,TF,Treatment,0,1,138.75,49.88,<0.01*
Metabolic Rate,M. capitata,T1,Treatment,0.28,1,9.97,1.49,0.25
,,TF,Treatment,0.81,1,14.71,1.76,0.2
,P. compressa,T1,Treatment,7.91,1,7.21,36.76,<0.01*
,,TF,Treatment,0.49,1,7.36,0.39,0.55
,P. varians,T1,Treatment,0.79,1,7.27,2.58,0.15
,,TF,Treatment,0.03,1,0.14,0.07,0.92
,P. acuta,T1,Treatment,4.66,1,6.91,91.42,<0.01*
,,TF,Treatment,0.9,1,2.86,3.19,0.18
