"","Frag.ID","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Notes","ID","Clade","C27.C3.C21.C27a","C15.C15ci.C15n.C15cj.C15cc.C15cl.C15l","C15.C15ci.C15cj.C15cm.C15ch.C15n.C15ck","C31.C17d.C31.1.C31a.C21.C17e.C21ac","C1d.C42.2.C1.C1k.C1b","C1d.C42.2.C1","C31.C17d.C21.C31.9.C31h.C31i.C21ac","C1.C1b.C1u.C3.C1bo","C42.2.C1.C1b.C3.C1au","C31.C17d.C21.C21ac.C31a.C17e.C31.9.C17f","C1.C3.C1c.C1b.C72k.C42.2","C17d.C31.C21.C21ac.C17e.C17f.C31.9","C31.C17d.C21.C31a.C21ac.C31g","C1d.C1df.C42.2.C1","C31.C17d.C21.C21ac.C31.1.C31a","C1.C3.C1c.C1b.C1w.C42.2","C1d.C42.2.C1ag.C1k.C42ax.C42ay.C1","C1.C1c.C1b.C1al.C72k","C1.C1d.C42.2.C3.C1b.C3cg.C45c.C115k.C1au.C41p","C15.C15n","C1.C3","C15.C1.C3.C1b","C31.C17d.C31.1","C31.C17d","C1d.C31","C15h.C15","C15.C31.C17d.C21.C15cl","C31.C17d.C21.C21ac.C31.9","C1.C42.2.C3cg.C1j.C1b.C3.C1au.C45c.C115k","C15h","D4.D1.D6.D1ab.D17d.D17j.D3h","D4.D1.D6.D1ab.D3h","D1.D4.D6.D1ab"
"1","S1037",358,"Ambient","Pavona_varians","TF","4.8","9","","S1037","C1",0,0,0,0,0,0,0,0,0,0,22306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","S1061",301,"Ambient","Pocillopora_acuta","TF","4.9","5","","S1061","CCC",0,0,0,0,0,13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","S1068",356,"High","Pavona_varians","T1","5","3","","S1068","C1",0,0,0,0,0,0,0,19051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","S1104",365,"Ambient","Montipora_capitata","TF","6.7","4","","S1104","CD",0,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,0
"5","S1108",362,"High","Pavona_varians","T0","6","9","","S1108","C27",24306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","S1110",321,"High","Porites_compressa","T1","1.3","3","Dup","S1110","C15cj",0,0,20775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","S1110B",321,"High","Porites_compressa","T1","1.3","3","Dup","S1110B","C15cj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","S1133",368,"High","Montipora_capitata","T1","3.7","11","","S1133","CD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6851,0,0
"9","S1144",358,"Ambient","Pavona_varians","T1","4.8","8","","S1144","C1",0,0,0,0,0,0,0,0,0,0,14754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","S1166",354,"High","Pavona_varians","TF","4.1","2","Dup","S1166","C27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0
"11","S1166b",354,"High","Pavona_varians","TF","4.1","2","Dup","S1166b","C27",7891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661,0,0,0,0,0,0,0,2196
"12","S1195",304,"Ambient","Pocillopora_acuta","T1","6.4","4","","S1195","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","S1226",370,"Ambient","Montipora_capitata","TF","3.7","9","","S1226","C",0,0,0,22258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0
"14","S1254",362,"Ambient","Pavona_varians","T1","6","1","","S1254","C27",21003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","S1279",302,"Ambient","Pocillopora_acuta","TF","4.6","4","","S1279","CCC",0,0,0,0,0,0,0,0,0,0,0,0,0,25427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","S1388a",370,"High","Montipora_capitata","T1","3.7","7","Dup","S1388a","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5808,0,0,0,0,0,0,0,0,0,0
"17","S1388b",370,"High","Montipora_capitata","T1","3.7","7","Dup","S1388b","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
"18","S1413",357,"High","Pavona_varians","TF","4.7","11","","S1413","C27",22299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","S1418",325,"Ambient","Pavona_varians","T1","2.6","4","","S1418","C1",0,0,0,0,0,0,0,18872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","S1437",367,"High","Montipora_capitata","TF","5.8","6","","S1437","C",0,0,0,20507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","S1441",325,"High","Pavona_varians","T1","2.6","7","","S1441","C1",0,0,0,0,0,0,0,17432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","S1443",308,"Ambient","Pocillopora_acuta","T1","6.7","5","","S1443","CCC",0,0,0,0,19919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","S148",356,"High","Pavona_varians","T0","5","7","","S148","C1",0,0,0,0,0,0,0,21560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","S1502",322,"High","Porites_compressa","TF","1.5","7","","S1502","C15cj",0,0,16817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","S1526",358,"High","Pavona_varians","TF","4.8","11","","S1526","C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","S153",371,"Ambient","Montipora_capitata","T1","3.4","9","","S153","C",0,0,0,19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0
"27","S1556",355,"Ambient","Pavona_varians","TF","3.8","4","","S1556","C27",27153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","S1573",359,"Ambient","Pavona_varians","T1","2","5","","S1573","C27",16189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","S1688",362,"Ambient","Pavona_varians","TF","6","5","","S1688","C27",9420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","S1736",359,"Ambient","Pavona_varians","TF","2","9","","S1736","C27",19339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
