"","taxa_id","x","y","zero_ind","contrast","Domain","Phylum","Order","Class","Family","Genus"
"1","Otu00001",-0.244228698444309,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"2","Otu00001",-0.464050208425533,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"3","Otu00002",-0.238974426410641,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"4","Otu00002",-0.636489542344162,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"5","Otu00004",-0.481188663714786,0,"No","T1","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"6","Otu00004",-2.3674963127445,0,"No","TF","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"7","Otu00006",-0.307122728042088,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"8","Otu00006",0.206089922159072,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"9","Otu00011",0.455990308602002,0,"No","TF","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
"10","Otu00013",-0.414633586438082,0,"No","T1","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"11","Otu00013",-0.997532541282501,0,"No","TF","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"12","Otu00015",0.941798686098219,0,"No","TF","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","MBIC10086"
"13","Otu00015",1.46695884352466,0,"No","T1","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","MBIC10086"
"14","Otu00019",-0.097368793906296,0,"No","T1","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902"
"15","Otu00019",0.0137377814860859,0,"No","TF","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","Synechococcus_CC9902"
"16","Otu00023",0.146720756134756,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"17","Otu00025",0.379188108141219,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria"
"18","Otu00025",-1.76615199874822,324,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria"
"19","Otu00031",-0.121224156905898,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"20","Otu00031",-0.0305708543060834,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"21","Otu00047",-0.209421373331416,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria"
"22","Otu00048",-0.659704325735865,0,"No","T1","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"23","Otu00052",0.374570183673309,0,"No","T1","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"24","Otu00055",-0.658616322294491,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola"
"25","Otu00058",1.82345520220813,137,"No","TF","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","Prosthecochloris"
"26","Otu00062",-0.497274720982829,372,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"27","Otu00062",0.00145300707527679,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"28","Otu00068",0.316540588201782,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"29","Otu00068",-0.547998481137369,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"30","Otu00072",-0.217873179015912,0,"No","TF","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadales_Incertae_Sedis","Eilatimonas"
"31","Otu00073",0.261406798705706,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"32","Otu00074",-0.307746957297606,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Shimia"
"33","Otu00078",-0.145196166803573,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"34","Otu00079",0.0398156086527287,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","uncultured","uncultured_ge"
"35","Otu00080",-0.161024595091951,0,"No","T1","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"36","Otu00080",-1.44212190925565,0,"No","TF","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas"
"37","Otu00084",0.261232191216829,0,"No","T1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
"38","Otu00090",0.138755041220005,0,"No","T1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"39","Otu00090",0.158361113963442,0,"No","TF","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"40","Otu00091",-0.0797719903754895,0,"No","T1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
