"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"18","Otu00002","SN205",0.346666666666667,"SN205","sample","320","Ambient","Porites_compressa","TF","0.8","5","C15cj","","N205","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"56","Otu00002","S1502",0.317333333333333,"S1502","sample","322","High","Porites_compressa","TF","1.5","7","C15cj","","1502","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"22","Otu00002","S3442",0.314333333333333,"S3442","sample","318","Ambient","Porites_compressa","TF","2.1","8","C15n","","3442","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"48","Otu00002","S3485",0.311666666666667,"S3485","sample","320","High","Porites_compressa","TF","0.8","7","C15cj","","3485","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"33","Otu00002","S809",0.311333333333333,"S809","sample","323","Ambient","Porites_compressa","T1","1.0","8","C15n","","809","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"32","Otu00002","SN25",0.311,"SN25","sample","323","Ambient","Porites_compressa","T0","1.0","4","C15n","","N25","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"11","Otu00002","SN19",0.310333333333333,"SN19","sample","319","Ambient","Porites_compressa","T0","3.1","5","C15cj","","N19","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"13","Otu00002","S2286",0.310333333333333,"S2286","sample","315","Ambient","Porites_compressa","T1","2.5","1","C15n","","2286","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"31","Otu00002","S3476",0.309,"S3476","sample","319","High","Porites_compressa","TF","3.1","11","C15cj","Yes","3476","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"28","Otu00002","SN105",0.302666666666667,"SN105","sample","321","Ambient","Porites_compressa","TF","1.3","8","C15cj","","N105","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"39","Otu00002","SN3",0.299666666666667,"SN3","sample","322","Ambient","Porites_compressa","T0","1.5","8","C15cj","Yes","N3","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"43","Otu00002","SN122",0.298,"SN122","sample","319","Ambient","Porites_compressa","TF","3.1","4","C15cj","","N122","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"42","Otu00002","S199",0.297,"S199","sample","317","Ambient","Porites_compressa","T1","2.2","4","C15cj","","199","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"36","Otu00002","SN117",0.294666666666667,"SN117","sample","319","Ambient","Porites_compressa","T1","3.1","1","C15cj","","N117","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"14","Otu00002","S31",0.294,"S31","sample","320","Ambient","Porites_compressa","T0","0.8","9","C15cj",NA,"31","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"16","Otu00002","S3444",0.294,"S3444","sample","315","High","Porites_compressa","TF","2.5","11","C15n","","3444","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
"6","Otu00002","SN131",0.292666666666667,"SN131","sample","324","Ambient","Porites_compressa","TF","0.8","9","C15n","","N131","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","differential"
