"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"1","Otu00019-Synechococcus_CC9902","S3086",0.0433333333333333,"S3086","sample",309,"High","Pocillopora_acuta","T1",5.5,11,"C42",NA,"3086","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"2","Otu00102-Pseudoalteromonas","S431",0.043,"S431","sample",306,"Ambient","Pocillopora_acuta","T1",6.1,8,"CCC",NA,"431","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"3","Otu00102-Pseudoalteromonas","S3490",0.0306666666666667,"S3490","sample",308,"High","Pocillopora_acuta","T1",6.7,11,"CCC",NA,"3490","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"4","Otu00102-Pseudoalteromonas","SN197b",0.0246666666666667,"SN197b","sample",309,"Ambient","Pocillopora_acuta","T1",5.5,8,"C42",NA,"N197","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"5","Otu00019-Synechococcus_CC9902","S1061",0.018,"S1061","sample",301,"Ambient","Pocillopora_acuta","TF",4.9,5,"CCC",NA,"1061","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"6","Otu00102-Pseudoalteromonas","S1443b",0.0166666666666667,"S1443b","sample",308,"Ambient","Pocillopora_acuta","T1",6.7,5,"CCC",NA,"1443","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"7","Otu00102-Pseudoalteromonas","S403",0.0163333333333333,"S403","sample",309,"Ambient","Pocillopora_acuta","TF",5.5,9,"C42",NA,"403","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"8","Otu00019-Synechococcus_CC9902","S314",0.014,"S314","sample",305,"High","Pocillopora_acuta","T1",6.1,6,"C42",NA,"314","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"9","Otu00102-Pseudoalteromonas","SN198",0.014,"SN198","sample",305,"Ambient","Pocillopora_acuta","T1",6.1,9,"C42",NA,"N198","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"10","Otu00019-Synechococcus_CC9902","S403",0.0133333333333333,"S403","sample",309,"Ambient","Pocillopora_acuta","TF",5.5,9,"C42",NA,"403","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"11","Otu00102-Pseudoalteromonas","SN170",0.0133333333333333,"SN170","sample",307,"Ambient","Pocillopora_acuta","T1",4.9,1,"C42",NA,"N170","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"12","Otu00019-Synechococcus_CC9902","S3490",0.0126666666666667,"S3490","sample",308,"High","Pocillopora_acuta","T1",6.7,11,"CCC",NA,"3490","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"13","Otu00019-Synechococcus_CC9902","S2142",0.0123333333333333,"S2142","sample",302,"High","Pocillopora_acuta","T1",4.6,3,"CCC",NA,"2142","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"14","Otu00019-Synechococcus_CC9902","S3164",0.0113333333333333,"S3164","sample",303,"Ambient","Pocillopora_acuta","TF",4.9,8,"CCC",NA,"3164","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"15","Otu00019-Synechococcus_CC9902","SN158",0.0106666666666667,"SN158","sample",307,"Ambient","Pocillopora_acuta","TF",4.9,5,"C42",NA,"N158","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"16","Otu00102-Pseudoalteromonas","SN132",0.0106666666666667,"SN132","sample",308,"Ambient","Pocillopora_acuta","TF",6.7,9,"CCC",NA,"N132","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"17","Otu00019-Synechococcus_CC9902","SN132",0.01,"SN132","sample",308,"Ambient","Pocillopora_acuta","TF",6.7,9,"CCC",NA,"N132","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"18","Otu00019-Synechococcus_CC9902","S2402",0.00833333333333333,"S2402","sample",306,"High","Pocillopora_acuta","T1",6.1,3,"CCC",NA,"2402","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"19","Otu00019-Synechococcus_CC9902","SN169",0.008,"SN169","sample",305,"Ambient","Pocillopora_acuta","TF",6.1,5,"C42",NA,"N169","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"20","Otu00019-Synechococcus_CC9902","SN197b",0.008,"SN197b","sample",309,"Ambient","Pocillopora_acuta","T1",5.5,8,"C42",NA,"N197","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"21","Otu00019-Synechococcus_CC9902","SN198",0.00766666666666667,"SN198","sample",305,"Ambient","Pocillopora_acuta","T1",6.1,9,"C42",NA,"N198","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"22","Otu00102-Pseudoalteromonas","S3081",0.00766666666666667,"S3081","sample",304,"Ambient","Pocillopora_acuta","TF",6.4,1,"CCC",NA,"3081","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"23","Otu00102-Pseudoalteromonas","SN158",0.00733333333333333,"SN158","sample",307,"Ambient","Pocillopora_acuta","TF",4.9,5,"C42",NA,"N158","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"24","Otu00102-Pseudoalteromonas","SN104",0.007,"SN104","sample",310,"Ambient","Pocillopora_acuta","T1",4,8,"CCC",NA,"N104","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"25","Otu00019-Synechococcus_CC9902","S3081",0.00633333333333333,"S3081","sample",304,"Ambient","Pocillopora_acuta","TF",6.4,1,"CCC",NA,"3081","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"26","Otu00102-Pseudoalteromonas","S1061",0.00633333333333333,"S1061","sample",301,"Ambient","Pocillopora_acuta","TF",4.9,5,"CCC",NA,"1061","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
"27","Otu00019-Synechococcus_CC9902","S2879",0.006,"S2879","sample",301,"High","Pocillopora_acuta","TF",4.9,7,"CCC",NA,"2879","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"28","Otu00019-Synechococcus_CC9902","SN2",0.006,"SN2","sample",306,"Ambient","Pocillopora_acuta","T0",6.1,11,"CCC",NA,"N2","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"29","Otu00019-Synechococcus_CC9902","S2736",0.00533333333333333,"S2736","sample",311,"High","Pocillopora_acuta","T1",7.3,11,"C42",NA,"2736","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"30","Otu00019-Synechococcus_CC9902","S2226",0.005,"S2226","sample",312,"Ambient","Pocillopora_acuta","TF",5.8,8,"CCC",NA,"2226","Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales","Cyanobiaceae","differential"
"31","Otu00102-Pseudoalteromonas","S3164",0.005,"S3164","sample",303,"Ambient","Pocillopora_acuta","TF",4.9,8,"CCC",NA,"3164","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","differential"
