"","X","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"1",38,"Otu00001-Endozoicomonas","S3478",0.613,"S3478","sample",361,"High","Pavona_varians","T1",6.8,6,"C1","","3478","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","core"
"2",112,"Otu00011-Candidatus_Amoebophilus","S761",0.57,"S761","sample",355,"Ambient","Pavona_varians","T1",3.8,1,"C27","","761","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"3",108,"Otu00011-Candidatus_Amoebophilus","S616",0.568666666666667,"S616","sample",355,"High","Pavona_varians","T0",3.8,2,"C27","","616","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"4",104,"Otu00011-Candidatus_Amoebophilus","S3246",0.503333333333333,"S3246","sample",353,"High","Pavona_varians","T1",3.6,2,"C1","","3246","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"5",80,"Otu00011-Candidatus_Amoebophilus","S2663",0.382,"S2663","sample",355,"High","Pavona_varians","TF",3.8,7,"C27","","2663","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"6",82,"Otu00011-Candidatus_Amoebophilus","S2214",0.281666666666667,"S2214","sample",351,"Ambient","Pavona_varians","TF",4.6,8,"C27","","2214","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"7",103,"Otu00011-Candidatus_Amoebophilus","S914",0.167333333333333,"S914","sample",325,"High","Pavona_varians","T0",2.6,11,"C1","","914","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"8",100,"Otu00011-Candidatus_Amoebophilus","S3137",0.159333333333333,"S3137","sample",359,"High","Pavona_varians","T1",2,2,"C27",NA,"3137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
"9",57,"Otu00001-Endozoicomonas","SN84",0.15,"SN84","sample",360,"High","Pavona_varians","T0",2,8,"C27","","N84","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","core"
"10",68,"Otu00011-Candidatus_Amoebophilus","S249",0.142666666666667,"S249","sample",360,"Ambient","Pavona_varians","T1",2,5,"C27","","249","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","core"
