"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"4","Otu00001","SN30",0.075,"SN30","sample","307","Ambient","Pocillopora_acuta","T0","4.9","4","C42","","N30","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"18","Otu00073","SN2",0.0586666666666667,"SN2","sample","306","Ambient","Pocillopora_acuta","T0","6.1","11","CCC","","N2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"38","Otu00196","SN18",0.0526666666666667,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified","core"
"19","Otu00073","S915",0.046,"S915","sample","304","High","Pocillopora_acuta","T0","6.4","6","CCC","","915","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"10","Otu00062","S915",0.042,"S915","sample","304","High","Pocillopora_acuta","T0","6.4","6","CCC","","915","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"42","Otu00197","SN2",0.0396666666666667,"SN2","sample","306","Ambient","Pocillopora_acuta","T0","6.1","11","CCC","","N2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","core"
"24","Otu00073","SN18",0.031,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"33","Otu00196","SN2",0.0283333333333333,"SN2","sample","306","Ambient","Pocillopora_acuta","T0","6.1","11","CCC","","N2","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified","core"
"11","Otu00062","SN18",0.026,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"2","Otu00001","SN18",0.025,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"15","Otu00062","SN4",0.0226666666666667,"SN4","sample","308","Ambient","Pocillopora_acuta","T0","6.7","9","CCC","","N4","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"6","Otu00001","SN4",0.0203333333333333,"SN4","sample","308","Ambient","Pocillopora_acuta","T0","6.7","9","CCC","","N4","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"26","Otu00139","SN18",0.0193333333333333,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","core"
"14","Otu00062","SN30",0.0123333333333333,"SN30","sample","307","Ambient","Pocillopora_acuta","T0","4.9","4","C42","","N30","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"23","Otu00073","SN30",0.0123333333333333,"SN30","sample","307","Ambient","Pocillopora_acuta","T0","4.9","4","C42","","N30","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","core"
"36","Otu00196","S915",0.0123333333333333,"S915","sample","304","High","Pocillopora_acuta","T0","6.4","6","CCC","","915","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrionaceae_unclassified","core"
"13","Otu00062","SN2",0.011,"SN2","sample","306","Ambient","Pocillopora_acuta","T0","6.1","11","CCC","","N2","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","core"
"7","Otu00001","SN85",0.009,"SN85","sample","311","Ambient","Pocillopora_acuta","T0","7.3","4","C42","","N85","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"43","Otu00197","S915",0.008,"S915","sample","304","High","Pocillopora_acuta","T0","6.4","6","CCC","","915","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","core"
"47","Otu00197","SN30",0.008,"SN30","sample","307","Ambient","Pocillopora_acuta","T0","4.9","4","C42","","N30","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","core"
"44","Otu00197","SN18",0.00733333333333333,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius","core"
