"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"38","Otu00001","S3478",0.613,"S3478","sample","361","High","Pavona_varians","T1","6.8","6","C1","","3478","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"112","Otu00011","S761",0.57,"S761","sample","355","Ambient","Pavona_varians","T1","3.8","1","C27","","761","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"108","Otu00011","S616",0.568666666666667,"S616","sample","355","High","Pavona_varians","T0","3.8","2","C27","","616","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"104","Otu00011","S3246",0.503333333333333,"S3246","sample","353","High","Pavona_varians","T1","3.6","2","C1","","3246","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"80","Otu00011","S2663",0.382,"S2663","sample","355","High","Pavona_varians","TF","3.8","7","C27","","2663","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"82","Otu00011","S2214",0.281666666666667,"S2214","sample","351","Ambient","Pavona_varians","TF","4.6","8","C27","","2214","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"103","Otu00011","S914",0.167333333333333,"S914","sample","325","High","Pavona_varians","T0","2.6","11","C1","","914","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"100","Otu00011","S3137",0.159333333333333,"S3137","sample","359","High","Pavona_varians","T1","2.0","2","C27",NA,"3137","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"57","Otu00001","SN84",0.15,"SN84","sample","360","High","Pavona_varians","T0","2.0","8","C27","","N84","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"68","Otu00011","S249",0.142666666666667,"S249","sample","360","Ambient","Pavona_varians","T1","2.0","5","C27","","249","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"114","Otu00011","SN84",0.129333333333333,"SN84","sample","360","High","Pavona_varians","T0","2.0","8","C27","","N84","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"72","Otu00011","S2629",0.124666666666667,"S2629","sample","355","High","Pavona_varians","T1","3.8","3","C27","","2629","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"73","Otu00011","S231",0.115666666666667,"S231","sample","359","Ambient","Pavona_varians","T0","2.0","9","C27","","231","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"78","Otu00011","S1413",0.115666666666667,"S1413","sample","357","High","Pavona_varians","TF","4.7","11","C27","","1413","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"92","Otu00011","S2911",0.109,"S2911","sample","351","High","Pavona_varians","T1","4.6","6","C27","","2911","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"23","Otu00001","S2731",0.099,"S2731","sample","353","High","Pavona_varians","TF","3.6","3","C1","","2731","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"19","Otu00001","S2663",0.0896666666666667,"S2663","sample","355","High","Pavona_varians","TF","3.8","7","C27","","2663","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"97","Otu00011","S488",0.089,"S488","sample","358","Ambient","Pavona_varians","T0","4.8","5","C1","","488","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"89","Otu00011","S436",0.0796666666666667,"S436","sample","357","Ambient","Pavona_varians","T1","4.7","4","C27","","436","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"12","Otu00001","S148",0.0786666666666667,"S148","sample","356","High","Pavona_varians","T0","5.0","7","C1","","148","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","core"
"84","Otu00011","S2731",0.0756666666666667,"S2731","sample","353","High","Pavona_varians","TF","3.6","3","C1","","2731","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
"61","Otu00011","S1688",0.0746666666666667,"S1688","sample","362","Ambient","Pavona_varians","TF","6.0","5","C27","","1688","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","core"
