Species,taxa_id,stat,p_value
Porites_compressa,Otu00022,0.971,0.001
Porites_compressa,Otu00002,0.96,0.001
Porites_compressa,Otu00006,0.955,0.001
Porites_compressa,Otu00001,0.943,0.001
Porites_compressa,Otu00116,0.776,0.001
Porites_compressa,Otu00023,0.624,0.001
Porites_compressa,Otu00081,0.577,0.002
Porites_compressa,Otu00623,0.577,0.007
Porites_compressa,Otu00955,0.577,0.002
Porites_compressa,Otu00660,0.527,0.005
Porites_compressa,Otu00919,0.527,0.005
Porites_compressa,Otu00293,0.507,0.013
Porites_compressa,Otu00831,0.408,0.05
Pocillopora_acuta,Otu00114,0.839,0.001
Pocillopora_acuta,Otu00091,0.783,0.001
Pocillopora_acuta,Otu00089,0.737,0.001
Pocillopora_acuta,Otu00197,0.678,0.001
Pocillopora_acuta,Otu00312,0.648,0.001
Pocillopora_acuta,Otu00090,0.635,0.003
Pocillopora_acuta,Otu00247,0.615,0.002
Pocillopora_acuta,Otu01227,0.603,0.002
Pocillopora_acuta,Otu00830,0.597,0.001
Pocillopora_acuta,Otu00084,0.586,0.027
Pocillopora_acuta,Otu00151,0.582,0.024
Pocillopora_acuta,Otu01413,0.582,0.001
Pocillopora_acuta,Otu00385,0.579,0.013
Pocillopora_acuta,Otu00196,0.56,0.01
Pocillopora_acuta,Otu00291,0.553,0.002
Pocillopora_acuta,Otu01100,0.55,0.002
Pocillopora_acuta,Otu00231,0.537,0.019
Pocillopora_acuta,Otu00960,0.522,0.005
Pocillopora_acuta,Otu01128,0.522,0.004
Pocillopora_acuta,Otu01167,0.522,0.004
Pocillopora_acuta,Otu00492,0.518,0.003
Pocillopora_acuta,Otu00662,0.518,0.012
Pocillopora_acuta,Otu00695,0.517,0.03
Pocillopora_acuta,Otu01119,0.513,0.004
Pocillopora_acuta,Otu00358,0.507,0.009
Pocillopora_acuta,Otu00350,0.504,0.022
Pocillopora_acuta,Otu01964,0.503,0.01
Pocillopora_acuta,Otu01307,0.5,0.012
Pocillopora_acuta,Otu01124,0.49,0.012
Pocillopora_acuta,Otu00201,0.486,0.023
Pocillopora_acuta,Otu00834,0.48,0.039
Pocillopora_acuta,Otu01035,0.473,0.019
Pocillopora_acuta,Otu00886,0.468,0.019
Pocillopora_acuta,Otu01047,0.464,0.028
Pocillopora_acuta,Otu00194,0.44,0.037
Pocillopora_acuta,Otu01221,0.426,0.033
Pocillopora_acuta,Otu03273,0.426,0.027
Pocillopora_acuta,Otu06397,0.426,0.031
Pocillopora_acuta,Otu02885,0.426,0.027
Pocillopora_acuta,Otu02286,0.426,0.037
