"","taxa_id","Species","stat","p_value","Domain","Phylum","Order","Class","Family","Genus"
"1","Otu00001","Porites_compressa",0.943,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"2","Otu00002","Porites_compressa",0.96,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"3","Otu00004","Montipora_capitata",0.893,0.001,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"4","Otu00006","Porites_compressa",0.955,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"5","Otu00008","Pavona_varians",0.484,0.032,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"6","Otu00012","Pavona_varians",0.641,0.005,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"7","Otu00013","Montipora_capitata",0.516,0.006,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"8","Otu00022","Porites_compressa",0.971,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"9","Otu00023","Porites_compressa",0.624,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"10","Otu00025","Montipora_capitata",0.75,0.001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria"
"11","Otu00026","Pavona_varians",0.42,0.049,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
"12","Otu00027","Pavona_varians",0.542,0.001,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified"
"13","Otu00030","Pavona_varians",0.626,0.002,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga"
"14","Otu00031","Montipora_capitata",0.577,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"15","Otu00039","Pavona_varians",0.641,0.002,"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","uncultured"
"16","Otu00048","Montipora_capitata",0.616,0.008,"Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"17","Otu00053","Pavona_varians",0.714,0.002,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Tistlia"
"18","Otu00057","Pavona_varians",0.42,0.035,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Mastigocoleus_BC008"
"19","Otu00074","Montipora_capitata",0.578,0.004,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Shimia"
"20","Otu00078","Montipora_capitata",0.775,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"21","Otu00081","Porites_compressa",0.577,0.002,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"22","Otu00082","Pavona_varians",0.67,0.002,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Pelagibius"
"23","Otu00084","Pocillopora_acuta",0.586,0.027,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira"
"24","Otu00089","Pocillopora_acuta",0.737,0.001,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus"
"25","Otu00090","Pocillopora_acuta",0.635,0.003,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paeniglutamicibacter"
"26","Otu00091","Pocillopora_acuta",0.783,0.001,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"27","Otu00094","Pavona_varians",0.574,0.004,"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Alkalispirochaeta"
"28","Otu00097","Montipora_capitata",0.577,0.001,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"29","Otu00100","Pavona_varians",0.604,0.001,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales","Kiloniellaceae","Tistlia"
"30","Otu00109","Montipora_capitata",0.447,0.013,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
