"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"22","Otu00004-P3OB-42_ge","SN82",0.93,"SN82","sample","373","Ambient","Montipora_capitata","T0","5.3","5","C","","N82","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"25","Otu00004-P3OB-42_ge","S1753",0.809,"S1753","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"27","Otu00004-P3OB-42_ge","S1753b",0.807,"S1753b","sample","370","Ambient","Montipora_capitata","T0","3.7","9","C","Yes","1753","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"29","Otu00004-P3OB-42_ge","SN33",0.610666666666667,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"6","Otu00001-Endozoicomonas","SN64",0.467333333333333,"SN64","sample","366","High","Montipora_capitata","T0","7.0","6","CD","","N64","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"48","Otu00015-MBIC10086","SN72",0.463666666666667,"SN72","sample","368","High","Montipora_capitata","T0","3.7","7","CD","","N72","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","abund"
"50","Otu00015-MBIC10086","SN94",0.454,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","abund"
"53","Otu00028-Candidatus_Amoebophilus","SN21",0.401333333333333,"SN21","sample","372","Ambient","Montipora_capitata","T0","5.6","1","C","","N21","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"24","Otu00004-P3OB-42_ge","SN94",0.275333333333333,"SN94","sample","367","High","Montipora_capitata","T0","5.8","2","C","","N94","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"35","Otu00013-P3OB-42_ge","SN33",0.249666666666667,"SN33","sample","364","High","Montipora_capitata","T0","6.0","7","CD","","N33","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
