"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"13","Otu00004-P3OB-42_ge","SN42",0.887333333333333,"SN42","sample","364","Ambient","Montipora_capitata","TF","6.0","5","CD","","N42","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"3","Otu00004-P3OB-42_ge","SN152",0.875,"SN152","sample","374","Ambient","Montipora_capitata","TF","3.2","8","CD","","N152","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"7","Otu00004-P3OB-42_ge","S1437",0.83,"S1437","sample","367","High","Montipora_capitata","TF","5.8","6","C","","1437","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"6","Otu00004-P3OB-42_ge","SN110",0.804333333333333,"SN110","sample","369","Ambient","Montipora_capitata","TF","3.3","4","CD","","N110","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"4","Otu00004-P3OB-42_ge","S2284",0.777333333333333,"S2284","sample","369","High","Montipora_capitata","TF","3.3","6","CD","","2284","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"10","Otu00004-P3OB-42_ge","S1226",0.756333333333333,"S1226","sample","370","Ambient","Montipora_capitata","TF","3.7","9","C","","1226","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"15","Otu00004-P3OB-42_ge","SN96",0.675333333333333,"SN96","sample","368","Ambient","Montipora_capitata","TF","3.7","9","CD","","N96","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"62","Otu00031-Endozoicomonas","S3204",0.615333333333333,"S3204","sample","370","High","Montipora_capitata","TF","3.7","11","C",NA,"3204","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"88","Otu00058-Prosthecochloris","S619",0.601,"S619","sample","368","High","Montipora_capitata","TF","3.7","2","CD","","619","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","abund"
"8","Otu00004-P3OB-42_ge","S3422",0.506,"S3422","sample","373","High","Montipora_capitata","TF","5.3","7","C","","3422","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"24","Otu00013-P3OB-42_ge","S3422",0.488333333333333,"S3422","sample","373","High","Montipora_capitata","TF","5.3","7","C","","3422","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"16","Otu00013-P3OB-42_ge","S1104",0.438333333333333,"S1104","sample","365","Ambient","Montipora_capitata","TF","6.7","4","CD","","1104","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"12","Otu00004-P3OB-42_ge","S377",0.436,"S377","sample","373","Ambient","Montipora_capitata","TF","5.3","5","C","","377","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"1","Otu00004-P3OB-42_ge","S1104",0.426666666666667,"S1104","sample","365","Ambient","Montipora_capitata","TF","6.7","4","CD","","1104","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"28","Otu00013-P3OB-42_ge","S377",0.413666666666667,"S377","sample","373","Ambient","Montipora_capitata","TF","5.3","5","C","","377","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"42","Otu00015-MBIC10086","S619",0.261333333333333,"S619","sample","368","High","Montipora_capitata","TF","3.7","2","CD","","619","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","abund"
"30","Otu00013-P3OB-42_ge","SN96",0.199333333333333,"SN96","sample","368","Ambient","Montipora_capitata","TF","3.7","9","CD","","N96","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"76","Otu00058-Prosthecochloris","S3473",0.145666666666667,"S3473","sample","372","High","Montipora_capitata","TF","5.6","6","C","","3473","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","abund"
"48","Otu00025-Ruegeria","S335",0.138333333333333,"S335","sample","363","High","Montipora_capitata","TF","5.4","11","C","","335","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","abund"
"5","Otu00004-P3OB-42_ge","S3204",0.137666666666667,"S3204","sample","370","High","Montipora_capitata","TF","3.7","11","C",NA,"3204","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"67","Otu00031-Endozoicomonas","S1226",0.137,"S1226","sample","370","Ambient","Montipora_capitata","TF","3.7","9","C","","1226","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"140","Otu00303-Gammaproteobacteria_unclassified","S335",0.124666666666667,"S335","sample","363","High","Montipora_capitata","TF","5.4","11","C","","335","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","abund"
"109","Otu00097-Endozoicomonas","S3204",0.109666666666667,"S3204","sample","370","High","Montipora_capitata","TF","3.7","11","C",NA,"3204","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"125","Otu00109-Endozoicomonas","S3204",0.102,"S3204","sample","370","High","Montipora_capitata","TF","3.7","11","C",NA,"3204","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"44","Otu00015-MBIC10086","S1437",0.101333333333333,"S1437","sample","367","High","Montipora_capitata","TF","5.8","6","C","","1437","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","abund"
"43","Otu00015-MBIC10086","SN96",0.0823333333333333,"SN96","sample","368","Ambient","Montipora_capitata","TF","3.7","9","CD","","N96","Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales","Nodosilineaceae","abund"
"9","Otu00004-P3OB-42_ge","S3470",0.0653333333333333,"S3470","sample","364","High","Montipora_capitata","TF","6.0","2","CD","","3470","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","abund"
"83","Otu00058-Prosthecochloris","S3470",0.0543333333333333,"S3470","sample","364","High","Montipora_capitata","TF","6.0","2","CD","","3470","Bacteria","Bacteroidetes","Chlorobia","Chlorobiales","Chlorobiaceae","abund"
"98","Otu00092-uncultured","S3473",0.0536666666666667,"S3473","sample","372","High","Montipora_capitata","TF","5.6","6","C","","3473","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","abund"
