"","OTU","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","Genus","top.group"
"105","Otu00011","S755",0.816,"S755","sample","312","High","Pocillopora_acuta","T0","5.8","5","CCC","","755","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"109","Otu00011","SN169",0.655666666666667,"SN169","sample","305","Ambient","Pocillopora_acuta","TF","6.1","5","C42","","N169","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"100","Otu00011","S3487",0.510333333333333,"S3487","sample","303","High","Pocillopora_acuta","TF","4.9","6","CCC","","3487","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"8","Otu00001","S3486",0.495333333333333,"S3486","sample","306","High","Pocillopora_acuta","TF","6.1","6","CCC","","3486","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"2","Otu00001","S2893",0.453,"S2893","sample","311","High","Pocillopora_acuta","TF","7.3","2","C42","","2893","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"178","Otu00055","SN170",0.416333333333333,"SN170","sample","307","Ambient","Pocillopora_acuta","T1","4.9","1","C42","","N170","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","abund"
"233","Otu00084","SN89",0.416,"SN89","sample","311","Ambient","Pocillopora_acuta","T1","7.3","4","C42","","N89","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","abund"
"88","Otu00011","S2879",0.399666666666667,"S2879","sample","301","High","Pocillopora_acuta","TF","4.9","7","CCC","","2879","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"111","Otu00011","SN85",0.292333333333333,"SN85","sample","311","Ambient","Pocillopora_acuta","T0","7.3","4","C42","","N85","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"103","Otu00011","SN18",0.289666666666667,"SN18","sample","301","High","Pocillopora_acuta","T0","4.9","3","CCC","","N18","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"194","Otu00055","SN158",0.286666666666667,"SN158","sample","307","Ambient","Pocillopora_acuta","TF","4.9","5","C42","","N158","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","abund"
"360","Otu00151","SN104",0.286666666666667,"SN104","sample","310","Ambient","Pocillopora_acuta","T1","4.0","8","CCC","","N104","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","abund"
"151","Otu00028","SN85",0.267333333333333,"SN85","sample","311","Ambient","Pocillopora_acuta","T0","7.3","4","C42","","N85","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"80","Otu00011","S1061",0.267,"S1061","sample","301","Ambient","Pocillopora_acuta","TF","4.9","5","CCC","","1061","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"57","Otu00002","S3486",0.254,"S3486","sample","306","High","Pocillopora_acuta","TF","6.1","6","CCC","","3486","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"13","Otu00001","S314",0.252666666666667,"S314","sample","305","High","Pocillopora_acuta","T1","6.1","6","C42",NA,"314","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"84","Otu00011","S2226",0.244,"S2226","sample","312","Ambient","Pocillopora_acuta","TF","5.8","8","CCC","","2226","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"312","Otu00101","SN170",0.237666666666667,"SN170","sample","307","Ambient","Pocillopora_acuta","T1","4.9","1","C42","","N170","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_unclassified","Alteromonadales_unclassified","abund"
"52","Otu00002","S2893",0.193,"S2893","sample","311","High","Pocillopora_acuta","TF","7.3","2","C42","","2893","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"79","Otu00011","S1443b",0.186666666666667,"S1443b","sample","308","Ambient","Pocillopora_acuta","T1","6.7","5","CCC","","1443","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"86","Otu00011","S3059",0.176666666666667,"S3059","S3059","301","High","Pocillopora_acuta","T1","4.9","6","CCC","","3059","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"140","Otu00028","S314",0.175,"S314","sample","305","High","Pocillopora_acuta","T1","6.1","6","C42",NA,"314","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"1","Otu00001","S1443b",0.145,"S1443b","sample","308","Ambient","Pocillopora_acuta","T1","6.7","5","CCC","","1443","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"45","Otu00002","S314",0.138,"S314","sample","305","High","Pocillopora_acuta","T1","6.1","6","C42",NA,"314","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"82","Otu00011","S2736",0.124333333333333,"S2736","sample","311","High","Pocillopora_acuta","T1","7.3","11","C42","","2736","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"35","Otu00001","SN197b",0.121,"SN197b","sample","309","Ambient","Pocillopora_acuta","T1","5.5","8","C42","","N197","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"142","Otu00028","SN198",0.117333333333333,"SN198","sample","305","Ambient","Pocillopora_acuta","T1","6.1","9","C42","","N198","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
"4","Otu00001","S3086",0.102333333333333,"S3086","sample","309","High","Pocillopora_acuta","T1","5.5","11","C42",NA,"3086","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas","abund"
"198","Otu00084","S2402",0.0926666666666667,"S2402","sample","306","High","Pocillopora_acuta","T1","6.1","3","CCC","","2402","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Thalassospiraceae","Thalassospira","abund"
"132","Otu00028","S2736",0.0853333333333333,"S2736","sample","311","High","Pocillopora_acuta","T1","7.3","11","C42","","2736","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","abund"
