"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"11","Otu00001-Endozoicomonas","S226",0.648,"S226","sample","324","High","Porites_compressa","T1","0.8","7","C15n","","226","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"10","Otu00001-Endozoicomonas","S650",0.641333333333333,"S650","sample","320","Ambient","Porites_compressa","T1","0.8","5","C15cj","","650","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"16","Otu00001-Endozoicomonas","SN78",0.640333333333333,"SN78","sample","324","Ambient","Porites_compressa","T1","0.8","8","C15n","","N78","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"15","Otu00001-Endozoicomonas","S3340",0.632,"S3340","sample","317","High","Porites_compressa","T1","2.2","2","C15cj","","3340","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"13","Otu00001-Endozoicomonas","S634",0.631,"S634","sample","318","High","Porites_compressa","T1","2.1","2","C15n","","634","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"4","Otu00001-Endozoicomonas","S1110",0.626333333333333,"S1110","sample","321","High","Porites_compressa","T1","1.3","3","C15cj","","1110","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"20","Otu00001-Endozoicomonas","SN124",0.621333333333333,"SN124","sample","318","Ambient","Porites_compressa","T1","2.1","5","C15n","","N124","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"19","Otu00001-Endozoicomonas","SN117",0.618,"SN117","sample","319","Ambient","Porites_compressa","T1","3.1","1","C15cj","","N117","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"14","Otu00001-Endozoicomonas","S199",0.612666666666667,"S199","sample","317","Ambient","Porites_compressa","T1","2.2","4","C15cj","","199","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"2","Otu00001-Endozoicomonas","S3488",0.610333333333333,"S3488","sample","315","High","Porites_compressa","T1","2.5","6","C15n","","3488","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
