"","otu_genus","Sample","Abundance","sample_name.1","Type","Parent.ID","Treatment","Species","Time.Point","Depth","Tank.num","Clade","Dups","Frag.ID","Domain","Phylum","Order","Class","Family","top.group"
"24","Otu00008-Endozoicomonas","S2136",0.932666666666667,"S2136","sample","362","High","Pavona_varians","TF","6.0","11","C27","","2136","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"83","Otu00012-Bacteria_unclassified","S420",0.910666666666667,"S420","sample","354","Ambient","Pavona_varians","TF","4.1","4","C27","","420","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"98","Otu00027-Cytophagales_unclassified","S1526",0.550333333333333,"S1526","sample","358","High","Pavona_varians","TF","4.8","11","C1","","1526","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","abund"
"88","Otu00012-Bacteria_unclassified","SN217",0.483,"SN217","sample","361","Ambient","Pavona_varians","TF","6.8","8","C1","","N217","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"133","Otu00044-Cytophagales_unclassified","S1037",0.48,"S1037","sample","358","Ambient","Pavona_varians","TF","4.8","9","C1","","1037","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","abund"
"44","Otu00008-Endozoicomonas","S471",0.472,"S471","sample","356","Ambient","Pavona_varians","TF","5.0","9","C1","","471","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","abund"
"75","Otu00012-Bacteria_unclassified","S2214",0.471,"S2214","sample","351","Ambient","Pavona_varians","TF","4.6","8","C27","","2214","Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","abund"
"155","Otu00052-Arcobacter","S1166",0.430333333333333,"S1166","sample","354","High","Pavona_varians","TF","4.1","2","C27","","1166","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","abund"
"64","Otu00011-Candidatus_Amoebophilus","S2663",0.382,"S2663","sample","355","High","Pavona_varians","TF","3.8","7","C27","","2663","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"126","Otu00039-uncultured","S955",0.341,"S955","sample","325","Ambient","Pavona_varians","TF","2.6","9","C1","","955","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Helicobacteraceae","abund"
"93","Otu00027-Cytophagales_unclassified","S2328",0.325666666666667,"S2328","sample","359","High","Pavona_varians","TF","2.0","3","C27","","2328","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","abund"
"149","Otu00044-Cytophagales_unclassified","S422",0.317,"S422","sample","357","Ambient","Pavona_varians","TF","4.7","8","C27","","422","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","abund"
"214","Otu00093-Rivularia_PCC-7116","S2948",0.313,"S2948","sample","351","High","Pavona_varians","TF","4.6","7","C27","","2948","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","abund"
"48","Otu00011-Candidatus_Amoebophilus","S2214",0.281666666666667,"S2214","sample","351","Ambient","Pavona_varians","TF","4.6","8","C27","","2214","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
"194","Otu00056-Alteromonadaceae_unclassified","S3383",0.278666666666667,"S3383","sample","356","High","Pavona_varians","TF","5.0","6","C1","","3383","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","abund"
"209","Otu00093-Rivularia_PCC-7116","S832",0.142,"S832","sample","360","Ambient","Pavona_varians","TF","2.0","1","C27","","832","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","abund"
"49","Otu00011-Candidatus_Amoebophilus","S1413",0.115666666666667,"S1413","sample","357","High","Pavona_varians","TF","4.7","11","C27","","1413","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","abund"
