Pan ID,Frag.ID,Sample Volume (mL),Burned Pan (g),Burned Pan + Dry Residue,Dry Tissue biomass (g) (E-D),Burned.Pan.Burned.residue,AFDW.g,AFDW.g.mL
197,N170,0.9,0.41361,0.45781,0.0442,0.44574,0.01340977,0.012068793
176,N117,0.9,0.40789,0.47037,0.06248,0.44932,0.02338655,0.021047895
159,554,0.9,0.40712,0.45073,0.04361,0.43805,0.01408748,0.012678732
199,N198,0.9,0.39689,0.45215,0.05526,0.43483,0.01924252,0.017318268
209,N108,0.9,0.40907,0.45148,0.04241,0.43945,0.01336533,0.012028797
235,2424,0.9,0.41402,0.46928,0.05526,0.44979,0.02165339,0.019488051
227,2286,0.9,0.41211,0.46004,0.04793,0.44504,0.016665,0.0149985
232,809,0.9,0.41289,0.47437,0.06148,0.45217,0.0246642,0.02219778
165,N149,0.9,0.40735,0.45368,0.04633,0.44001,0.01518737,0.013668633
161,N45,0.9,0.41189,0.4643,0.05241,0.44591,0.02043129,0.018388161
134,N134,0.9,0.41269,0.46107,0.04838,0.44586,0.01689831,0.015208479
248,N190,0.9,0.40977,0.45714,0.04737,0.44218,0.01662056,0.014958504
167,3458,0.9,0.40634,0.45369,0.04735,0.43784,0.01760935,0.015848415
149,3471,0.9,0.40546,0.454,0.04854,0.43787,0.01792043,0.016128387
142,431,0.9,0.40846,0.45216,0.0437,0.43862,0.01504294,0.013538646
180,2402,0.9,0.40786,0.44483,0.03697,0.43471,0.01124332,0.010118988
166,3513,0.9,0.40111,0.43879,0.03768,0.42819,0.0117766,0.01059894
246,3473,0.9,0.40944,0.45432,0.04488,0.4396,0.01635392,0.014718528
33,1443,0.9,0.40371,0.44532,0.04161,0.43315,0.01352087,0.012168783
127,284,0.9,0.40471,0.46427,0.05956,0.44124,0.02558633,0.023027697
226,3488,0.9,0.401204,0.45595,0.054746,0.44176,0.01576509,0.014188581
219,N92,0.9,0.41345,0.43949,0.02604,0.43064,0.0177,0.01593
182,N197,0.9,0.41681,0.45969,0.04288,0.44559,0.0156651,0.01409859
191,1133,0.9,0.40536,0.45401,0.04865,0.43708,0.01880923,0.016928307
192,3482,0.9,0.41109,0.4573,0.04621,0.44159,0.01745381,0.015708429
118,1895,0.9,0.40514,0.45306,0.04792,0.43736,0.0174427,0.01569843
193,972,0.9,0.40319,0.45438,0.05119,0.43582,0.02062016,0.018558144
181,1791,0.9,0.41006,0.45461,0.04455,0.44026,0.01594285,0.014348565
205,N150,0.9,0.41443,0.45384,0.03941,0.44114,0.0141097,0.01269873
139,1144,0.9,0.40709,0.4499,0.04281,0.43738,0.01390972,0.012518748
164,2001,0.9,0.40711,0.44955,0.04244,0.43684,0.01412081,0.012708729
137,3490,0.9,0.41073,0.45323,0.0425,0.4412,0.01336533,0.012028797
162,3246,0.9,0.40819,0.45134,0.04315,0.43788,0.01495406,0.013458654
156,N157,0.9,0.40569,0.45453,0.04884,0.43786,0.01852037,0.016668333
223,3472,0.9,0.40672,0.45355,0.04683,0.43815,0.0171094,0.01539846
146,670,0.9,0.4131,0.4601,0.047,0.44456,0.01726494,0.015538446
117,1441,0.9,0.42228,0.47053,0.04825,0.45363,0.0187759,0.01689831
141,226,0.9,0.41073,0.46177,0.05104,0.4432,0.02063127,0.018568143
257,N152,0.9,0.41291,0.46511,0.0522,0.44477,0.02259774,0.020337966
216,N63,0.9,0.4132,0.46113,0.04793,0.4448,0.01814263,0.016328367
210,179,0.9,0.40711,0.45267,0.04556,0.43782,0.01649835,0.014848515
239,2911,0.9,0.40551,0.45116,0.04565,0.4363,0.01650946,0.014858514
236,1943,0.9,0.40636,0.4548,0.04844,0.43755,0.01916475,0.017248275
140,3469,0.9,0.40927,0.46223,0.05296,0.44122,0.02334211,0.021007899
173,1110,0.9,0.41139,0.45761,0.04622,0.44265,0.01662056,0.014958504
217,3479,0.9,0.40807,0.45514,0.04707,0.43926,0.01764268,0.015878412
213,3514,0.9,0.41203,0.46484,0.05281,0.44497,0.02207557,0.019868013
194,314,0.9,0.40844,0.45224,0.0438,0.4388,0.01493184,0.013438656
242,946,0.9,0.41449,0.46917,0.05468,0.44733,0.02426424,0.021837816
24,3476,0.6,0.41465,0.44687,0.03222,0.43723,0.01606988,0.009641928
5,420,0.9,0.41018,0.45337,0.04319,0.44125,0.01346532,0.012118788
125,490,0.9,0.40589,0.44908,0.04319,0.43656,0.01390972,0.012518748
82,3137,0.9,0.40092,0.44577,0.04485,0.43222,0.01505405,0.013548645
