Date,Frag.ID,Mass.g,Temp.C,Days,TimePoint
3/21/17,49,7.704,25.106,0,Time0
3/21/17,122,1.576,26.4,0,Time0
3/21/17,148,6.393,24.89,0,Time0
3/21/17,153,5.123,26.86,0,Time0
3/21/17,179,1.813,25.583,0,Time0
3/21/17,199,5.103,25.8,0,Time0
3/21/17,208,10.679,25.145,0,Time0
3/21/17,226,4.232,26.506,0,Time0
3/21/17,231,7.998,24.447,0,Time0
3/21/17,238,2.608,24.396,0,Time0
3/21/17,244,4.232,23.99,0,Time0
3/21/17,249,5.56,24.114,0,Time0
3/21/17,263,3.475,24.667,0,Time0
3/21/17,284,3.616,26.26,0,Time0
3/21/17,314,2.036,26.73,0,Time0
3/21/17,335,2.118,27.41,0,Time0
3/21/17,377,2.974,24.612,0,Time0
3/21/17,391,15.662,24.26,0,Time0
3/21/17,403,5.152,26.78,0,Time0
3/21/17,417,3.55,23.862,0,Time0
3/21/17,419,6.487,24.326,0,Time0
3/21/17,420,5.635,26.23,0,Time0
3/21/17,422,3.219,24.4,0,Time0
3/21/17,425,16.51,25.98,0,Time0
3/21/17,428,4.239,24.05,0,Time0
3/21/17,431,4.951,25.2,0,Time0
3/21/17,436,7.696,27.02,0,Time0
3/21/17,471,4.103,26.49,0,Time0
3/21/17,473,2.975,26.352,0,Time0
3/21/17,477,4.691,27.087,0,Time0
3/21/17,478,2.637,23.894,0,Time0
3/21/17,488,31.85,25.594,0,Time0
3/21/17,490,13.518,25.122,0,Time0
3/21/17,508,5.5,26.237,0,Time0
3/21/17,579,8.729,266.24,0,Time0
3/21/17,616,17.649,24.929,0,Time0
3/21/17,617,1.178,25.24,0,Time0
3/21/17,619,7.673,25.078,0,Time0
3/21/17,626,2.911,25.2,0,Time0
3/21/17,634,2.374,25.65,0,Time0
3/21/17,650,5.31,24.07,0,Time0
3/21/17,657,4.922,23.9,0,Time0
3/21/17,664,9.006,24.485,0,Time0
3/21/17,670,2.038,26.494,0,Time0
3/21/17,697,8.399,23.9921,0,Time0
3/21/17,706,3.766,24.07,0,Time0
3/21/17,755,4.286,25.465,0,Time0
3/21/17,761,24.248,24.333,0,Time0
3/21/17,766,4.858,23.914,0,Time0
3/21/17,775,5.561,26.681,0,Time0
3/21/17,779,3.072,26.09,0,Time0
3/21/17,785,6.148,24.033,0,Time0
3/21/17,797,17.777,24.042,0,Time0
3/21/17,809,6.138,24.24,0,Time0
3/21/17,828,4.063,25.16,0,Time0
3/21/17,832,2.127,24.3,0,Time0
3/21/17,840,1.438,27.091,0,Time0
3/21/17,848,3.264,24.987,0,Time0
3/21/17,881,1.138,26.08,0,Time0
3/21/17,907,5.45,24.12,0,Time0
3/21/17,914,3.354,24.32,0,Time0
3/21/17,915,5.003,25.304,0,Time0
3/21/17,946,3.209,25.34,0,Time0
3/21/17,955,9.476,26.62,0,Time0
3/21/17,965,1.401,25.28,0,Time0
3/21/17,972,3.35,27.307,0,Time0
3/21/17,982,5.456,26.08,0,Time0
3/21/17,1008,10.639,26.705,0,Time0
3/21/17,1013,1.545,26.11,0,Time0
3/21/17,1037,4.506,26.2,0,Time0
3/21/17,1061,3.316,24.095,0,Time0
3/21/17,1068,7.472,25.75,0,Time0
3/21/17,1104,1.636,25.99,0,Time0
3/21/17,1107,2.32,26.277,0,Time0
3/21/17,1110,4.153,25.29,0,Time0
3/21/17,1133,3.278,27.238,0,Time0
3/21/17,1144,5.57,24.68,0,Time0
3/21/17,1166,2.837,24.591,0,Time0
3/21/17,1195,3.061,25.84,0,Time0
3/21/17,1226,1.576,26.4,0,Time0
3/21/17,1240,17.357,25.861,0,Time0
3/21/17,1279,3.483,26.14,0,Time0
3/21/17,1284,3.362,24.438,0,Time0
3/21/17,1330,4.639,25.662,0,Time0
3/21/17,1388,3.919,26.396,0,Time0
3/21/17,1412,1.495,23.992,0,Time0
3/21/17,1413,15.409,26.85,0,Time0
3/21/17,1418,9.955,25.62,0,Time0
3/21/17,1437,2.504,26.61,0,Time0
3/21/17,1441,8.121,26.591,0,Time0
3/21/17,1443,4.205,25.115,0,Time0
3/21/17,1502,5.19,26.899,0,Time0
3/21/17,1526,7.8669,27.342,0,Time0
3/21/17,1533,1.953,24.07,0,Time0
3/21/17,1537,7.972,23.991,0,Time0
3/21/17,1556,4.792,25.81,0,Time0
3/21/17,1573,2.089,24.243,0,Time0
3/21/17,1688,27.014,24.066,0,Time0
3/21/17,1753,2.48,24.285,0,Time0
3/21/17,1771,2.463,24.785,0,Time0
3/21/17,1791,2.163,26.16,0,Time0
3/21/17,1803,4.435,27.04,0,Time0
3/21/17,1857,22.022,24.727,0,Time0
3/21/17,1929,15.027,26.245,0,Time0
3/21/17,1943,15.887,26.865,0,Time0
3/21/17,1982,9.732,24.367,0,Time0
