Date,Frag.ID,Mass.g,Temp.C,Days,TimePoint,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,X,Clade
3/21/17,946,3.209,25.34,0,Time0,316,High,Porites_compressa,T1,2,3,,C15n
3/21/17,1068,7.472,25.75,0,Time0,356,High,Pavona_varians,T1,5,3,,C1
3/21/17,1110,4.153,25.29,0,Time0,321,High,Porites_compressa,T1,1.3,3,,C15cj
3/21/17,2142,5.19,25.86,0,Time0,302,High,Pocillopora_acuta,T1,4.6,3,,CCC
3/21/17,2402,3.413,25.32,0,Time0,306,High,Pocillopora_acuta,T1,6.1,3,,CCC
3/21/17,2629,8.043,25.45,0,Time0,355,High,Pavona_varians,T1,3.8,3,,C27
3/21/17,2849,5.556,25.38,0,Time0,360,High,Pavona_varians,T1,2,3,,C27
3/21/17,3025,3.902,25.72,0,Time0,307,High,Pocillopora_acuta,T1,4.9,3,,C42
3/21/17,3468,5.829,25.52,0,Time0,323,High,Porites_compressa,T1,1,3,,C15n
3/21/17,3472,2.033,25.41,0,Time0,372,High,Montipora_capitata,T1,5.6,3,,C
3/21/17,3477,3.581,25.35,0,Time0,312,High,Pocillopora_acuta,T1,5.8,3,,CCC
3/21/17,3479,2.005,25.58,0,Time0,367,High,Montipora_capitata,T1,5.8,3,,C
3/21/17,3482,1.719,25.28,0,Time0,373,High,Montipora_capitata,T1,5.3,3,,C
3/21/17,2018,2.103,25.51,0,Time0,365,High,Montipora_capitata,TF,6.7,3,,CD
3/21/17,2328,3.238,25.6,0,Time0,359,High,Pavona_varians,TF,2,3,,C27
3/21/17,2731,7.968,25.52,0,Time0,353,High,Pavona_varians,TF,3.6,3,,C1
3/21/17,3480,3.7,25.65,0,Time0,314,High,Porites_compressa,TF,2.1,3,,C15cj
3/21/17,3484,5.099,25.46,0,Time0,304,High,Pocillopora_acuta,TF,6.4,3,,CCC
3/21/17,3517,4.215,25.8,0,Time0,317,High,Porites_compressa,TF,2.2,3,,C15cj
3/21/17,N141,1.27,25.85,0,Time0,366,High,Montipora_capitata,TF,7,3,,CD
3/21/17,199,5.103,25.8,0,Time0,317,Ambient,Porites_compressa,T1,2.2,4,,C15cj
3/21/17,284,3.616,26.26,0,Time0,314,Ambient,Porites_compressa,T1,2.1,4,,C15cj
