Frag.ID,Rep1,Rep2
N63,2.291095,3.318698333
1943,2.63997,2.692365
179,3.048721667,3.039013333
670,3.878113333,3.878631667
226,8.844976667,8.764463333
N117,9.152916667,5.722981667
N149,11.01049333,11.90433667
2286,5.821796667,5.786243333
2001,0.26859,0.11523
3479,3.705703333,3.687095
N157,5.341355,5.328553333
2911,1.541148333,1.523713333
3469,6.004875,6.150295
314,0.169971667,-0.084293333
N108,0.320726667,0.301676667
554,2.131881667,2.520305
1441,0.912618333,0.954773333
3246,0.280661667,0.302956667
3472,3.191611667,3.272033333
1144,0.295245,0.288478333
N49,4.811231667,4.84607
3490,0.183611667,0.213863333
N170,1.366985,1.429346667
3458,3.65878,3.719848333
284,7.515663333,7.9262
N92,3.474116667,3.566226667
1133,4.971738333,5.106445
1895,1.009408333,1.006345
1791,4.114501667,4.209416667
N152,7.798123333,7.910671667
N134,3.02097,2.924835
N45,5.13025,5.125313333
348,3.565265,3.828203333
N150,2.200386667,2.407908333
972,5.675598333,5.855186667
N190,2.742656667,2.76992
2402,0.165156667,0.143606667
3471,2.777875,2.569131667
2424,7.184013333,7.356683333
809,18.914185,18.66087833
431,1.427108333,1.413131667
3513,0.327173333,0.293766667
1443,0.934091667,0.93589
3488,2.856803333,3.843763333
N197,2.077215,2.048106667
3473,2.57913,2.587801667
N198,3.346893333,3.347456667
