sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
113106	S761b	22534	17408	183	17408	183	0	0	0	0	16660	7	0	0	86	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113023	S1556	39083	28526	362	28526	362	0	0	0	0	27836	7	0	0	131	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113046	S2663	34686	23892	241	23892	241	0	0	0	0	23232	8	0	0	249	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112971	S420	27414	16733	192	16733	192	0	0	0	0	16360	9	0	0	244	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112993	S832	46174	37186	425	37186	425	0	0	0	0	36140	9	0	0	825	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112980	S554	35927	23092	261	23092	261	0	0	0	0	22666	11	0	0	485	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112989	S761	41983	29911	329	29907	328	0	0	4	1	28977	10	0	0	635	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113024	S1573	27863	17514	184	17507	182	0	0	7	2	16935	10	0	0	497	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113059	S3137	45129	29748	315	29748	315	0	0	0	0	28991	11	0	0	776	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113042	S2328	31645	22805	294	22805	294	0	0	0	0	22369	11	0	0	508	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113035	S2001	29065	15456	153	15456	153	0	0	0	0	15089	12	0	0	497	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113078	S3474	33393	14905	137	14902	136	0	0	3	1	14484	11	0	0	409	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113025	S1688	16688	10143	112	10143	112	0	0	0	0	9875	8	0	0	372	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112982	S616	35331	26665	310	26665	310	0	0	0	0	25913	12	0	0	665	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113013	S1240	24382	16910	232	16910	232	0	0	0	0	16458	10	0	0	587	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113026	S1736	39939	20740	221	20733	220	0	0	7	1	20364	11	0	0	631	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112972	S422	52659	38358	391	38358	391	0	0	0	0	37650	13	0	0	1245	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113016	S1413	34740	24031	257	24028	256	0	0	3	1	23611	12	4	0	760	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112962	S249	35103	21732	228	21732	228	0	0	0	0	21099	11	0	0	866	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112979	S490	27999	15414	173	15414	173	0	0	0	0	15068	13	0	0	552	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
113177	SN64	31555	22146	262	22146	262	0	0	0	0	21688	11	0	0	779	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	NoData	NoData	NoData	999.00000000	999.00000000	NoData	NoData
113049	S2849	42327	7333	77	7333	77	0	0	0	0	7090	13	0	0	160	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
112974	S436	31648	20081	228	20078	227	0	0	3	1	19486	12	0	0	736	0	0	0	0	0	0	coral	cnidaria	anothozoa	scleractinia	agaricidae	pavona	varians	999.00000000	999.00000000	NoData	NoData
