sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
C31/C17d-C31.1,87425,-0.484336187180566,-0.11004816268881067,-0.07447235298816718,0.008054593059427332,0.04245778094766773,-0.006553965335466456,0.0008633905584115667,0.2295299275596739,-0.0028648852889605943,-0.00040430125435114884,-0.0695240792811837,-0.007011185276136915,0.020136538638331123,-0.001298636490597111,-0.008868338489877215,-0.03707427507530421,-0.005250636602510843,0.01026367652625934,-0.0012928747726436056,0.01934728728945102,-0.0005723662349598481,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.4955850834860668,-0.11445200952543093,-0.0797056745577358,0.008315279190011337,0.04104388350430145,0.00436226868715672,-0.012812593589613867,0.060250735597649555,0.07215201804900241,-0.003002884237940014,-0.18061201540249258,-0.011270723722503685,0.0013395654495506298,-0.0009871861928049599,0.00811461289770315,0.028805005495791444,0.005187131208795677,-0.016704000473787457,0.004730153753328649,-0.005446412059220054,0.0003860779948928047,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C31,87436,-0.2530336810897387,-0.2592844792876672,0.3937982006451843,0.05502217841512192,0.04390494700042904,-0.17024616943003087,0.10090686866657776,0.06647554862041997,-0.03460145712388968,0.00018710226207371088,-8.912485438642383e-05,-0.0048102210923791,-0.04725577411842105,-0.0023619165934693587,-0.021496820225160387,0.0225132943239114,0.001663071654639171,-0.004808335921154966,0.000393799946737228,-0.00803219651810745,0.0002547659345085694,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.5070804699981009,-0.11180582689753676,-0.0855256545470745,0.007866433453316387,0.0028614207732784625,0.015940103810944264,-0.006610806077722195,-0.05992135775391386,0.0069058137401567425,0.0015507435951819467,0.01964043220313341,-0.00014983657362645017,-0.06503121222593392,-0.006510731639306923,-0.1034730480788665,-0.038066145485107526,-0.006296730297103483,0.025758642657037267,0.023006929522040954,-0.006304574248264499,-0.0002667578185986488,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C1w-C42.2,87697,0.4250768060481257,-0.12600577649929853,-0.34208517295586804,0.0005895331202605927,0.042072198084897844,-0.1574255850655985,-0.10341625305456649,-0.011547221897768549,-0.05306228385733698,0.047879118370880894,-0.011857450843126761,-0.007648580730059387,-0.0007614317662263694,0.0005116908017932571,0.004555788184801813,-0.03644415451015511,0.024932207387319372,-0.03266083716503656,0.0005164504850328029,-0.020300876614019463,-0.0018552498334763285,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15n,87320,0.06723596145358822,0.6176313218592214,0.11779167026414675,0.20872768315001097,-0.01904831882839077,-0.026484252410148908,-0.08043452701958934,0.025658597976203693,0.06389319686507702,0.011320517898804675,0.00790981668928371,0.017193265073262822,-0.005911021160882593,0.1581972000050428,-0.013197432882584405,0.0021209114607521223,0.007272746152780836,0.0014594859480412555,-0.00030122966274613046,-0.0010114156477725425,3.832553864905034e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15n-C15cj-C15cc-C15cl-C15l,87706,0.06540802324198393,0.6273644264069002,0.1189885654502944,0.2189552244556468,-0.016960547231323005,-0.025660088266559952,-0.08002966449851226,0.0193689478477168,0.047380261104316465,0.01115567944287151,0.01098917551536583,0.009405613544393416,0.000554404144801967,-0.06394999413475809,0.0008975349808724959,-0.009550948999473678,-0.06686317764129295,-0.02764532499934862,0.00016784649605445636,-0.00822682652544266,0.00021638582876712988,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15h/C15,87327,0.068943724753751,0.5522385581564643,0.11664001522583488,-0.3886353946587614,0.1640260723778624,0.03939689728110103,0.08482433126837233,-0.03142315729182083,-0.11416572985910707,-0.011398732884711046,-0.024356184307336028,-0.029934345368780372,0.0070275936317319284,0.002113779326809718,0.002942126525870071,0.0017865549858044271,0.0028082035665486778,0.004190077613430608,0.0002697845164850314,0.00346247993442539,-6.637866286186755e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27-C3-C21-C27a,87073,0.0623581039337332,0.08353245542785803,-0.026344307189291385,-0.20231044824090874,-0.7070380981067145,-0.0028088852165394505,0.006533535774277046,0.007712592310134901,-0.06448754608201315,0.019699498636676173,-0.023707924946952463,0.0023362279274111034,-0.0016222705946770148,-0.0007911318801786645,-0.004180276380059911,0.005570748001957608,-0.001093252389216112,0.0010815117924590654,3.1395724212721714e-05,1.9918909814089066e-05,-0.00011929563172020324,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1b-C1al-C72k,87720,0.3956558505335015,-0.11051447439223454,-0.3387367024956316,-0.007971248446195116,0.08474624436089555,-0.2373569438692328,-0.1694926983100837,-0.016287769307984996,-0.050508199744773115,0.025840825810162914,0.0030570161894120673,-0.03570389229292387,-0.0233845117675088,0.0004461067767859819,0.00670558512251111,0.03975353667876084,-0.020059532404389686,0.027715179219816793,-1.2497481303856861e-05,0.005012657065070969,-0.0020505283695769656,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
