sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
C31/C17d-C31.1,87425,-0.4628407149671056,-0.13344955817844803,0.005033751173931504,-0.01264876564553365,-0.1867139927203154,-0.07168844273837575,0.1911678502306855,-0.15598556674227024,-0.0045374205121716,0.009084249465180468,0.08130700865042996,0.01027615510890329,-0.004629539987971864,-0.01401914269471042,-0.03982049557841004,-0.00890165701615886,0.07095866854293344,-0.007514964540025573,-0.021045886896801404,-0.0028735711995085365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.44999779433932946,-0.12647043159058075,8.349484035347721e-06,-0.012449096071926243,-0.18990685771440027,-0.08106642976764576,0.20343246428490983,-0.1633307832937912,0.004293224196345813,0.0013296229868042873,-0.12727861125547055,-0.003663677660148022,-0.012179443490560857,-0.011008291860681516,0.00033128710842792407,0.004668446144686059,-0.07589758628582584,-0.006814992333894307,0.03550460944161133,-0.005672443165325676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C31,87436,-0.19589627705811827,-0.22268757928170338,-0.45099547161024783,-0.03987120602644717,-0.1003973027913939,-0.27626845735646877,0.09951126518769601,0.0417189304000429,-0.039285243020254705,0.01876336254829174,0.001837942703869723,0.000273558167237743,-0.02663517237601055,0.008771283767407646,0.016301987213724622,-0.005864082475286872,0.0003828017560899089,0.02372489013736805,0.003918620297767724,0.009004725002377702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.4949930879501636,-0.12770585495689776,0.07696604783986115,-0.001663533924789468,0.042450672163087844,0.061061211066237554,-0.07467264634640047,0.05784617106639638,0.011222061046240142,-0.00970227443992941,-0.1158218865659571,-0.010123897700792684,0.004459104105036757,0.01154329368054237,0.08187686895368793,0.020146776656873075,0.11240644951012277,-0.020909527760172512,0.04813121641752741,-0.003646818726763112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C1w-C42.2,87697,0.4344481177510074,-0.12606541589836903,0.28417446861222695,-0.0034448714937563023,-0.11141208623114407,-0.027796429093820362,-0.08432682250528724,-0.025740832484573838,-0.04422111422145502,0.028018758759837052,-0.004870868110038119,-0.016198671765715697,-0.055701615577825714,-0.03545469175547228,-0.023537459202292412,-0.009277475279693966,-0.004510308796938041,-0.10135048505008587,0.004290239689520367,0.0388214267529793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15n,87320,0.0224296840633458,0.583741600742192,-0.09528385313881625,-0.18723310302239074,-0.004454445478449634,-0.003802284243504831,-0.02901511687730054,-0.0430871606440131,0.14025467426233992,0.2942920533202071,0.003254826045530982,-0.034136516577324014,0.06610409529474429,-0.011681698518698038,0.012202708687856082,0.015130452705866097,0.0012772884580797444,0.0003468378199231815,-0.0006608098105480044,0.0016935436602973106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15n-C15cj-C15cc-C15cl-C15l,87706,0.01675660322147521,0.6175111156729645,-0.10055379761034335,-0.23022565597823524,-0.0066148398768469,0.004195177524764565,-0.04333413454566388,-0.04846476800804713,-0.09052419123925017,-0.12033251249350929,-0.0005952240406418462,0.004352151310790368,-0.007802934684777497,0.010389214813615941,-0.04186301048820855,0.13932827243320528,0.0016514506484976634,0.00694383945031997,-0.0026951084501921027,0.004138758029918719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15h/C15,87327,0.024297600323449423,0.6073632698807252,-0.11762212184865989,0.3336378135452504,-0.08038105308768771,0.051415846297567375,0.03500761923081423,0.08881532157843652,0.02947256579709196,-0.0008097930702598788,-0.0032959645681479807,0.0449284285247212,-0.06713305729651758,0.002227596107862905,-0.011048670716021152,-0.03610340566633314,-0.002055717099672461,-0.001763226511340546,-0.0006047604107628329,-0.002412157039705766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C27-C3-C21-C27a,87073,0.006706828439718202,0.0577445375154476,0.19448666826498426,0.11876190298338164,0.5971589730943342,-0.22494413856013676,0.022644729401300866,-0.10760292314204765,-0.08084776591510988,0.05171443208076121,-0.0144055267607458,0.00425137097610753,-0.07244826033557139,-0.019205369565014254,-0.006434435413724698,-0.006341515191624785,-0.0006218603016567246,0.016393950943338127,0.0029943956679830356,0.00046256612202373945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1c-C1b-C1al-C72k,87720,0.37594315886660973,-0.09076721459336563,0.2927536464670402,0.01022644938901752,-0.2575979941333975,-0.09211191002169868,-0.22481316693769274,-0.04032525676474478,-0.0560622455920111,0.041736601953449595,-0.002329323234504923,-0.04329016242488896,-0.05918353782562525,0.03240044213028933,0.015115894995833065,0.0021214624111851274,0.003073799527134011,0.07345644764682868,-0.0018392610516943168,0.0009600282446082531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C42.2,87721,0.432024676711346,-0.1254253279845216,0.28955109289421194,0.0002679062198831045,-0.13150884613478903,-0.04633750025502791,-0.125106019354451,-0.04435715992963503,-0.05527501215039821,0.037203956319346136,-0.008075076217587488,0.003728042509002582,-0.0578462665634006,-0.0034509228076960107,-0.01001750099232761,-0.0077868494449792585,-0.0011775238344060395,-0.006523175715779571,-0.00018683131236663846,-0.035546442939526066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15-C15ci-C15cj-C15cm-C15ch-C15n-C15ck,87731,0.022762119039477693,0.6090170600347736,-0.10118867555646799,-0.21526455771019623,-0.005693415487298511,-0.002666989214012351,-0.04855047223507794,-0.08715604127718221,-0.1148400182909228,-0.1257522678802309,0.012763623517515305,-0.0549126913717683,0.09827266181158756,-0.024567703767689505,0.05343609949367422,-0.11236163425554523,-0.00013475591459424975,-0.005294816915761728,0.0012201683854090074,-0.0009941919143732147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.49970266927063445,-0.1303169350308804,0.0886085858723631,0.003171936236909497,0.05964143027421479,0.09221097277697873,-0.11704648574641303,0.07292990554342021,0.015301108501558655,-0.009769704996898165,-0.026421860185639457,-0.027913406881174885,0.06520105330150963,0.0006962034201671998,-0.058899999461462856,-0.014334748799259545,-0.03349079334072631,0.016115926566048894,0.028670860948868348,0.009495070876373156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.4965565296240182,-0.1288070892590363,0.0874198362100644,0.0035105349928544246,0.046960540251812996,0.08337471329766681,-0.08903444830736935,0.03861182611932607,0.018251143669208228,-0.01059555545999841,-0.10010778429043461,-0.033805737665185465,0.06543522604660998,-0.011567694162025964,-0.11289948190549721,-0.029202638237596102,-0.002288099353703056,0.02161738024280521,-0.026839625938104267,-0.0035730479320560176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1b-C1u-C3-C1bo,87232,0.3846536613525077,-0.07327954593531949,0.3031328608336636,0.0023904091829065302,0.04617457949825692,-0.05961984781671555,0.20122037554007952,0.11090576412687264,0.046535498379551336,-0.048785757048873724,0.02754817861664522,-0.21855155691312153,0.0609257525702793,0.07207164158303933,0.007558301096167934,0.029454706815763884,0.0022502049926195573,-0.003878855687539709,-0.003983251197216489,-0.0025258373523734277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1-C1k-C1b,87746,0.36983211655608506,-0.22860325590177083,-0.37578535512079114,-0.04120947025498702,0.009710595248816031,0.018805387261774865,-0.02537414659998361,0.04941146962137112,0.00836689425939953,-0.004321911440037004,0.0049364819383481895,-0.06748376936585986,-0.06957902195734914,-0.015896305339873195,0.001762118260687464,-0.01962493813112328,-0.00023276616824550387,0.03800011367153096,0.0032045811119239325,0.00918911837042362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C1df-C42.2-C1,87747,0.2851243646233449,-0.190897955641945,-0.4619243201829998,-0.016357622813167178,0.03389982640642085,-0.14469141269947644,-0.07333504121362062,0.11436833161662394,-0.06665562773781468,0.032271955530265725,-0.012369624476651917,0.014303607169973073,0.06496519803884099,0.004659692054202581,-0.03741036372339786,0.00953860468543268,-0.0023289874277824126,-0.08296870183253063,-0.006311449365128481,-0.02441260015745003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15/C31/C17d-C21-C15cl,87384,-0.433176531702293,0.2220211783430684,0.02897394134404817,-0.16821591844017542,-0.007637043797361962,0.04623395328147298,0.02800227788133884,0.12410859498449656,0.030023571171369303,-0.02963374561118074,-0.019675792453950527,0.07787682844724182,-0.13519297998752558,0.015770908211252932,-0.012615442567866285,-0.00028863037870598997,-0.00035196427661351337,-0.002309235269811077,0.0019134374984676238,-0.0033854078616010544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3,87257,0.36059478885084845,-0.05942221583875433,0.32285786975244435,0.02892710462835951,-0.004224625533947083,-0.23876099441301415,-0.039543779466641844,-0.02416193343830696,0.15188196693151126,-0.09266062385073154,0.00020668458021452324,0.1698618103221168,0.13657694218834368,0.03442365340651355,0.011370938499109785,0.004100018755110147,0.0010823195651763393,0.008145343967947275,-0.0012654054912813262,0.00450154472174312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.49465917805262916,-0.13359113223415664,0.06716067545264627,0.0005465731505737755,0.01260124409456956,0.03281413687410492,-0.030587934113813095,0.006021479236174247,-0.012048667428039764,0.010757741156688079,0.2138122061367858,0.006287883395387017,0.019848668163863572,-0.00368383193755927,-0.04819268444603709,-0.010623443380839556,0.005978496528932069,0.011210864435418407,0.04311601130876983,0.0004147290789345536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.5162670539386411,-0.14299275430872438,0.06724087689729566,-0.005751073291211722,0.003394256378063568,0.0219282328004172,-0.005555302871587205,-0.0008235441479945188,-0.00035156186996180655,7.917880023579985e-05,-0.09968100788143616,-0.008760771170342765,-0.0032272705095306867,-0.006834246151364843,0.0296767020389621,-0.0026107089629897827,0.014543900367848092,0.0030352943057908527,-0.0637651483241869,0.00859487886318686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15/C1/C3/C1b,87776,0.3639891126316196,0.23760661874319516,0.240505577093013,-0.1483484485824746,0.009702274909261345,-0.015852959455903818,0.1526353022171405,0.1600453464187349,0.07032995266206106,-0.027433798122430596,-0.0010743066789189765,0.039813031334099185,-0.07831418294528038,0.01659062698274248,-0.01530182637335467,-0.04473954210684554,-0.0026137656604681607,0.0003097078810894077,0.0008692877331111752,-0.0013914870346965523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C42.2/C1,87143,0.3635091418560825,-0.2294714095690679,-0.3824614990233062,-0.03852714552032088,0.0046015670615341606,-0.058146698134893406,-0.02096138208822988,0.08932796545594693,0.016534966252730845,-0.01813777760073084,0.0007093390993281822,0.03685215319718518,0.040170846331371655,-0.08090788719154762,0.020078677730952968,0.01670899370228183,0.0027146935683610694,0.04599916195194933,0.00020086020326010628,0.01069697241765376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C42.2/C3cg/C1j-C1b-C3-C1au-C45c-C115k,87786,0.42998001363873906,-0.15708401055178906,0.0854262264149985,-0.02410616557335259,0.039412141155534514,0.2807199919447428,0.1281075478123644,-0.035109450900790776,-0.0939400583834369,0.04976013299278668,-0.009231858703906517,0.07815327024212379,0.060123341198254285,-0.006605190650152354,0.011379946100853185,0.014922470413227439,0.0015412860924358027,0.015671022297806515,0.00036972157479546133,0.002529002271773905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C42.2/C1-C1b-C3-C1au,87277,0.4541025420461751,-0.16212807645186886,0.13060344976217603,-0.024277475818933594,0.03413303276352875,0.16962783611612758,0.07696651225549549,-0.019186607565131426,0.06544063040679796,-0.04377644154732037,0.010088104440957424,-0.014373062232191754,-0.007907880776214354,-0.16505849827750452,0.010291309514118193,0.018353709750952848,0.0005433518037916179,0.0018080011553818893,0.0006021304583287461,-0.01223976092790599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15h,87149,0.023704779763631154,0.2833583553041672,-0.09999854660037695,0.7049424549178759,-0.07100246041803271,0.03289050942547861,0.0063907229388367745,-0.007831222367483215,-0.021898742813255188,-0.012377247210704982,0.002537593411506168,-0.020249282539899934,0.03567071959786556,-0.005698897646883754,0.008408705184300022,0.023933950239500238,0.0014337918138039806,0.0011367655018487681,-0.0002692430234378167,0.0022722017665476766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C21ac-C31.1-C31a,87408,-0.5087422806399442,-0.13731783509080303,0.07217203653745172,-0.004042436346116351,0.020285566651974268,0.03778447739548762,-0.03395616640642384,0.022258376357026665,-0.008420742377738056,0.006247504293703605,0.14177185866135486,0.016455553996557935,-0.013151373715611897,0.002639136611159799,0.04891554077853623,0.010847229391437901,0.007149773985994138,-0.01490142707447877,-0.03744198882831192,-0.0021082010887735017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C31a-C21ac-C31g,87409,-0.5055240911127918,-0.13442725215930149,0.07625752606273814,-0.002889966780919067,0.035760176127353126,0.05456178410760378,-0.06516333425502144,0.051229538573682544,0.0002971799542685725,-0.0011123755136968447,0.044889675445613696,0.00455909486446342,-0.0018535999536234084,0.01040620193337229,0.09450029118153183,0.024900621724134334,-0.10018753697274764,-0.01891079901391455,-0.006390810893815247,-0.004040217167100875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d-C42.2-C1ag-C1k-C42ax-C42ay-C1,87410,0.2716485755933758,-0.16022256769590748,-0.412201322041066,0.004188797514128022,0.11562776072528623,0.14566457404779112,-0.10817585363615036,-0.20710536318995412,0.19849830026062545,-0.09331309047904414,0.013559757795626067,-0.033934071172432086,-0.0720618970024311,0.07247719244963911,-0.004692976605444259,-0.009663537582926499,-0.0008400621553667609,-0.02006529299581393,-0.001510286904042317,-0.0020980227140375706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p,87285,0.41584832332683025,-0.19723031808332314,-0.11531852423611907,-0.0340453694662061,0.0460303266010127,0.21046568955247663,0.09346558652646399,-0.01733040720258667,-0.11779532619928032,0.06725532655801188,-0.013988565619694152,0.07542433587493678,0.027094426337519767,0.12057328517506376,-0.0004730293643818115,-0.016430908919745003,-0.0002565495730788565,0.009289952725755708,-0.00019627283945037983,0.004145641042376264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
