sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
C31/C17d-C31.1,87425,-0.1251709713393976,0.08806665380557346,0.0064275802831221225,0.021427559171915238,0.0012977746082671862,-0.008381490222741907,-0.015529086505860048,-0.007351437713298976,-0.001225804443236038,0.0036490699627761487,-0.0004927194159838088,-8.396330799931464e-06,-0.00014670756052588535,-0.0011991810311780587,0.00014795967942170387,0.0010570133771147176,0.00013716099967408935,-6.110256791913956e-05,2.9719344452363197e-08,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.10393950557427242,0.0747019095095304,0.003023233741379738,0.006757031294951184,0.00022077971928580943,-0.0013541484084958967,-0.007629247213930154,-0.006694566787127334,-0.011893392592696976,-0.0005165671459700507,-0.00010903627270032408,-7.707445109973283e-06,-0.0001961369924801982,0.0037972143770257185,-0.0004577063311600278,-0.00019209542631457537,-0.0001211832761272789,-5.8474887990424915e-06,2.4359713776142987e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C31,87436,-0.10178622709946525,-0.030623803237037017,-0.07146951126429593,-0.027279994997327934,-0.0020641901114803185,0.006768426018596018,-0.0019791199360674975,-0.001534377030562966,0.00024262649143630703,-0.0005908763049441507,-0.00017775906916934524,0.00010530644779088873,0.00013426550423084125,0.00012726563255278497,0.00025526973220516545,4.773546511239669e-05,6.418695859615711e-05,-7.3315324964452075e-06,4.291059487210981e-10,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.10103288819140117,0.07288048200168615,0.0024979546541496413,0.003302859795488589,-0.00010981934455942532,0.003317394687708116,0.00424805171494914,0.00160982028809836,-0.005226003585761546,-0.007053266107709763,0.0018929229408660732,7.215276827780912e-05,0.0008360728816590889,-0.00692022776854486,0.0002843430949500833,-0.002446466088165293,-0.0003855951375137849,0.00021527641309344083,-1.9624125300995053e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.08845838647747785,0.0648885302137165,0.0009447683045097378,-0.0048140102123773116,-0.0006343813786322472,0.00588842624899052,0.009395571406844038,0.004187835615877228,0.00012716939392090975,0.0031041894001688705,-0.0006001235193443764,0.0012879484884411197,0.0017063866718897375,0.002760979463067383,0.002354981961199536,-0.001743023686909996,0.002069752275786652,-0.00012448456167427036,-5.255869636901187e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.07863672468882005,0.05911700888407985,0.003945177199589139,-0.004902844515000196,-0.0002914385140146544,0.0013181046129832068,0.01186590182525425,0.005479429073399242,-0.003617413888848742,0.01018844032219649,-0.00020654428137041023,0.0009580882303004705,0.000908974923916362,-0.001054170835551103,-0.00130248251536588,0.0012136287173151025,-0.001772559282352931,7.097493359565897e-05,5.071682655856819e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C15/C31/C17d-C21-C15cl,87384,0.012513358604912673,0.11133945296042848,-0.05007567786355184,-0.036530246252342434,2.0770997540916456e-05,-0.010489247918713144,0.0004183012264231056,0.002043523056501649,-0.00045977926405152024,0.00022671450773894937,1.129879381201718e-05,-1.4249857612725436e-05,0.00010431901133705291,3.972287951754e-05,-0.00015514799032496308,0.00010169626182159827,-2.1722771721582447e-05,-4.663133942855782e-07,3.9211948107404224e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.11830686194145738,0.08393026539856342,0.005358490348306197,0.016035360228025708,0.000824498581373187,-0.0029013685660862353,-0.0027883880342851807,0.0014322894656669267,0.010911688629964571,0.003987748714430409,-0.00048197389000190585,0.00042193068073705624,0.0005802306004051668,0.0007270053569935971,0.0004970108840708985,-0.0028367176006168374,-0.0002766292751282401,0.00023396865419615448,-4.474066176998515e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.0919952712186099,0.06726467123634686,0.0011190163828352616,-0.0018018437120229797,-0.0004461429146848373,0.004345404312162295,0.002659072388776403,-0.000789577522489336,-0.00361586771875746,-0.0014871455762041034,-9.671577734191342e-05,-7.253745816402278e-05,-8.924378320072351e-05,-0.0014084515100958597,0.0008866198009347947,0.0020541006289367288,0.0011404713627147852,-0.00022120066695959702,-1.9318197685752535e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31-C17d-C21-C21ac-C31.1-C31a,87408,-0.10223338600703015,0.07369730491435618,0.0027426576107867627,0.004966048036093163,3.469244530009914e-05,0.0018754506102978143,0.0018203571069873308,0.001873854429668846,0.010016070135003987,-0.002838179077765603,-0.0001746221104687805,-0.0011156651164573107,-0.0015162016481746192,-0.002095699839266831,-0.0004230469953242199,0.003374052996236093,0.0003250782780477251,-0.00022894961426593886,3.0346658664101935e-07,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
