sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
S31,112953,-0.02184228574749216,0.025554249075869766,0.12262888471409569,0.09818985398133893,0.046780036471769364,-0.017058252114900217,-0.00467970866062549,-0.0019438087667331058,0.008591571382794731,-0.0013465266531474424,-0.0040847162753984605,-0.00288457850871416,0.004226752129642293,-0.0005765849442078366,0.0006232967984954098,-0.0003548105770288233,0.0004595949326820093,0.00020178778102761708,-0.00034021589982414043,0.00031742701687175926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S153,112956,0.19909923656135747,0.05681031480773344,-0.005103526164787186,-0.0444009628565729,-0.032263753956757645,-0.05079640693148856,-0.024561066570927794,0.002293266064367498,0.012579295134589712,0.00878004784052951,-0.0007064318125021274,-0.00914599152522224,0.003184423171106071,-0.005616942673697108,0.0008288569755522829,-0.00012066701298902784,0.0027108216131193153,0.0007060843192673319,-0.0007663126870340798,0.00016652643848711406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S179,112957,-0.03204467264635836,0.0065065994083825535,-0.005189168994649769,-0.01898388763120531,0.01545572862002159,0.01788130062895122,0.00876604120249529,0.0024531160558320182,-0.007941015039292983,0.0011660704157297741,0.0010800564694687133,-0.003334317267386382,-0.008455942900789255,-0.009874072587730529,0.00632325627723271,-0.004665439520062031,-0.00906911830087264,0.002524811005045507,-0.006097723494529194,-0.0007264135319054242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S231,112961,0.14773097559338982,-0.0030719384713762386,0.021774843944933342,-0.035967403973223795,0.01055844813773773,-0.005925916300702881,0.01390587404319278,-0.039122995228286175,-0.011474753419424251,-0.028177749379194757,-0.00526838330325024,-0.0026693151290693774,-0.001616300806263171,0.00716603431453982,-0.0017103912792216828,-0.0013913940882245024,-0.0012868775180580533,-0.0015163616830577967,0.0012106140246746352,-0.0009364924690494182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S619,112983,0.1351704427896675,-0.015569300304096263,0.028506320526043613,-0.009366310959414446,0.027293563008737674,-0.012290017879925202,-0.007170306378130822,0.02668151060248001,-0.007398805918239435,-0.010862833705002553,-0.0001668993963985663,0.01885086670997661,-0.01599454050484523,-0.001911331882857816,-0.004940893061960305,-0.002622271183429649,-0.0036608568339663,0.00371547419592861,0.0008778772572484038,0.00144974862015646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S797,112991,0.0634385787030915,-0.01813180429880449,-0.008480987060561478,0.0030266404701351952,0.030909488942257448,-0.012547486186282032,0.005836916688301859,0.010503389846392637,-0.033688944582855,-0.016970274590490275,-0.006680847575220588,-0.006542833384527156,0.0005697339855749795,-0.007775121828783017,-0.00019429990707197495,0.0007614231175725392,0.003588855583866027,-0.002281457919615348,0.0002628517215440906,-0.000856553531296368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1104,113004,-0.04089747006412045,-0.029789490079017447,-0.010059682082709825,0.0006149412520432574,0.012698434542713348,-0.014834601130500464,-0.01718787992542296,-0.005099704970384745,-0.01132336757458184,0.014960736349788263,-0.014668957277103146,-0.015092591522064134,-0.002139458024223298,0.0028660672782690137,-0.00968047012778684,0.0036791498354322664,-0.002733345870067172,0.0007252409443545187,-0.0008647870213346315,-0.0004583669932809406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1133,113008,0.032592000604190145,-0.002618476664023086,0.004375294427769468,-0.0010645508957574537,0.027224473334971768,-0.00160698732216351,0.00036133915532359716,0.0024454026859727245,0.0010248163364522513,0.005156955745321333,0.014564859902132169,-0.008837536072995391,0.0024944899488572067,0.005972323554503211,-0.001001185042541081,-0.003729826384004561,-0.004927551170140851,0.00022554323222620442,0.003460888965414326,-0.0011341682698860834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1226,113012,0.1540530159440682,0.031046538879587405,-0.03416431225015502,0.06810612996816835,-0.08608562441245916,0.0076285614469543475,0.028996641776778857,0.005348031066482345,-0.0029756926680403616,-0.005369403738746329,-0.0038400285243043895,2.7577033059486423e-05,-0.0017137932227668077,0.0019576497557704468,0.0014516784434253848,-0.0002898933448978414,-0.000915031979375397,0.0004537256979643411,-0.00024187390157722052,0.0005759810080715482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2018,113036,-0.09155739427199659,0.012540823134366073,-0.021972851140292717,0.006539554243749075,-0.0016726760103775128,0.002020573100858146,-0.012567302169246002,0.002402282276525477,0.0044852035905541205,-0.0038366246408462683,-0.009671111157032862,-0.0047091171962212125,-0.0010220546017120945,-0.0018366559150175714,0.005502344710342625,-0.0021455320987968833,0.0005956704847502343,0.0060051219758863825,0.0004261313159424446,0.004798591780170974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2284,113040,-0.04332012631630972,-0.023622146519434818,0.028908740679101475,-0.008259021036154687,-0.03533168033798204,-0.006473982866828995,-0.016121830504270417,0.007594599690501895,0.0024907808214340984,-0.01964740712447711,0.019295113297488325,-0.0018635574290432869,0.0010416723366530821,0.0047227132039600935,0.0004909175990104547,0.00795270968348263,-0.0012766630090012452,0.0017921935851096407,-0.004294516987164955,-0.0018834533518542918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3204,113062,0.201634278014746,-0.0140327868231244,-0.0319161001047468,0.0333511804167159,0.031760812356132984,0.0031714141034567397,0.013878995293799405,-0.01533443237690224,0.00914621230465282,0.014580998012543379,0.004577446769287619,0.0031770851789242388,0.0061307231490288815,-0.00011256394319055298,-0.00496769320411683,0.0027868422714730353,-0.0028900717594072733,-0.00012887001774424895,-0.0015529768355541337,-8.145469829297776e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3470,113074,-0.06681367202722223,-0.004705736059562678,0.013725978957605961,-0.013314506688320982,-0.03472710884642166,-0.014004849933982632,-0.005926985961015156,0.01680607012071956,-0.010975366190042588,-0.006464631114822843,0.009017953129138338,-0.002510268037739098,0.005176598622843872,0.005288744789478727,-0.004711686516175395,-0.007486940933279944,-0.003064942020036518,-0.0036745719087726506,0.0033435138248147007,0.0027580073607082396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1166b,113099,0.0005191698476315162,-0.15795518363799835,-0.11200539042393966,0.04527655280140476,0.014393140898922057,-0.010912232944498631,-0.011279412167214354,-0.0002997045706002436,0.005810381255293824,-0.004157502028915589,0.0016020503911777098,0.0001433201180430627,-0.0013983551431621711,-0.00043180356963621333,0.0011145235040799684,-0.0008629653219100092,0.0006119970444285541,-0.00044053560311318416,0.0007252356015311116,-0.00014306185679299906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN11,113114,-0.08941618178566832,0.02448006960131235,-0.016781967563240543,0.0005373715817535769,0.0004302972515564948,0.01030189054522863,-0.00814921527525285,-0.00028157751133572434,0.005541111784885163,-0.00887460873057883,-0.009629599853863989,-0.0001473456535896165,0.0022714163062599723,0.007610198248723949,-0.00230211718795356,-0.0036903066928910466,0.0015370896007249606,-0.008176976904141986,-0.005149609329614653,0.0009240596943057984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN110,113115,-0.01761722146080909,-0.021298054896705585,0.0001777149856337338,-0.01136919183641293,-0.000754340517438594,-0.004264168256697771,0.0036256229665773713,-0.004932834013779458,0.004055256509385978,-0.0015238632619348387,0.0025055658244107345,-0.006207582584943259,0.005978703185100122,0.006150198319038863,-0.002488223217649469,-0.009875826847366256,0.007297441757310288,0.005071996269786614,-0.0029050061099360155,0.0008305329832642758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN126,113121,-0.10045158706084045,0.017584234714864404,-0.010429768591365976,0.006233705567364402,-0.00974429522275953,-0.0007095820327728425,-0.00304672835578936,-0.001431720802159755,-0.0004258496055771571,-0.0072939907234715684,-0.00414132537448008,-0.008437928752664322,0.009586502964430806,-0.000945704728016482,0.00134231966967991,0.002122074260048103,-0.005099883330788533,0.007157425441111293,-0.0013005689489731724,-0.0034397181401269435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN127,113122,-0.10836922263826573,0.02257482554052172,0.0027553526991548312,8.115116398486022e-05,-0.006757628816318917,0.005075311965414329,0.01218621995311606,0.0005349471059763596,-0.01100953610394567,0.0064490769297018856,0.015505287980922183,0.00492667068470394,0.004858312177409961,-0.011298628830593155,-0.010891642238142563,-0.000997353132847117,0.00173250317539642,-0.003124401514062062,-0.0013020249563533343,-0.0020166691181224073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN141,113128,-0.10643594604066832,0.031245353114033727,-0.022028300366686356,0.0038698667243713637,0.01296933622251401,5.6870616621835965e-05,-0.013542232026718806,-0.004654145918453018,0.0022262444930596873,-0.007816621040470238,-0.0056255112261474815,0.011007107879540321,-8.164095138729814e-05,0.003744240295194083,0.010759409175336503,-0.003003939860026817,-0.00033090509233154594,-0.0032739157088181774,0.0022881453613972126,-0.00532376597029172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN145,113129,-0.02377131944601903,0.008638855666043381,0.0046343511953980026,-0.0031521035457161943,0.003488723230318613,0.025451552501619606,-0.00029782652877442545,0.0002075663097779559,0.01811707620233731,-0.006077560055547015,0.006184871465236454,-0.01806595593603292,-0.015543461189440173,-0.0026594583913608113,0.0004923608877150672,0.006623435738936238,2.868043976842849e-06,-0.003047829402338725,0.0036186602466077677,0.0004530969746994152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN150,113131,0.05399350859200786,-0.01890443393088058,0.003452124871594669,-0.01283075020800069,0.02933096932383759,0.0004108882928139048,0.004202140876561156,-0.009972374964241812,0.0032153225813105362,-0.0036669466994313144,0.021379983055834495,0.0026040740452056297,0.0036174889144641696,-0.00545508024605537,0.009015632444587977,0.0042429643678079795,0.006706588030649852,-0.0008337595095294638,-0.0021876055055075725,0.002843327687742918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN152,113132,-0.02344709031990899,-0.0029059250892935324,-0.0022631801229892894,-0.0174132477347073,0.010593183984200142,0.012293150431786751,0.0023021710733780077,0.003370287396871743,-0.005486714091121914,0.01094023121501658,-0.004621842886605199,-0.011584503048884946,0.00047730994253389667,-0.01134569521806833,0.0009407969969745439,-0.0019546853284468113,0.002404627693708785,-0.0028641282886704695,0.002112723983933277,-0.0012825189885355545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN172,113138,-0.007923849261546625,-0.04690314766810107,0.031773770853417926,-0.032155466147633094,-0.029012617825114544,-0.0003009445654714377,0.009624548485379456,-0.011972520041986543,0.007403819657916995,-0.0015124561009678015,-0.0184964578170466,0.014707137924814848,0.008179485189981545,-0.010069646886196632,-0.0010810972614435236,0.0038339362088284585,-9.601958982888162e-05,0.001074279127426427,0.0008372816225596739,-0.0005842438336213017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN190,113145,-0.09785514071804687,0.021239582950232753,-0.019763395038680485,0.0006258547666902757,0.006114205931049208,0.008002536936517491,-0.010732180726343975,-0.0003800480514916618,-0.002026259331865276,-0.006544552227480877,-0.001995772368988534,0.011787163541895867,0.006810073583535945,-0.0016293534361263512,-0.0029982166297463746,0.01017211769627526,-0.0005659611390848811,0.00037827415091483115,0.0011833413420317164,0.0033297140327689352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
