sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
S31,112953,0.010725422904252236,0.3504962372438035,-0.0932891258422407,0.006262947574837366,0.013327984307283712,0.0013935127621892422,-0.006183341252761645,0.013330308517913598,0.013333612343986634,-0.0041746512487013925,0.0034497146231560775,0.0049840725824598225,-0.0008965760283494191,-0.0018301313582858656,-0.00012726591119342572,-0.001259351122355867,0.0001980010982738287,-0.00011106041807675045,-3.907348960400921e-05,7.706500593635795e-05,-4.8603180807121684e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S153,112956,0.2317146307423633,-0.03604023393694979,0.12088429948018034,-0.03970729885575398,0.03389742891875976,-0.0448580076302716,0.013726904145975438,0.06980073300318886,0.04971910997052012,0.020456687958613707,-0.0029810179149139427,0.010902045590495473,-0.0037056700114396586,-0.0017777256065513389,3.694719578030737e-05,-0.0012639873166478959,-0.0001809481944337538,0.0008686313689177499,0.00018568755422643693,-0.00012180488777915266,5.705333129229495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S179,112957,-0.035466493385368905,-0.05059210082644765,-0.039475095599971366,0.0060653333743265975,0.012942970071498838,0.01946532271916844,-0.008615471087295377,-0.01106158438988406,0.02086500321301803,-0.0017976602523151798,0.02638035825737645,-0.01862821643731476,-0.0012510918229518488,0.015174778282645036,0.008013515442248272,-0.0006791496831552302,0.0021599358203028027,-0.004907272280849458,-0.0011801211388317446,0.0008860210645099184,0.0012041549560499382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S231,112961,0.2356865701531228,-0.022495317137547422,-0.020383214085751836,0.012128583573846602,-0.008991072294648579,-0.03007216138108258,-0.04432303494321309,-0.021513084122234273,0.03835233153419312,-0.03175675357255216,0.0009721747917174553,0.005306024024603756,0.03508084846036465,-0.005588226727467121,-0.003473783585196442,0.001733908307767616,-7.070713038949368e-05,-0.00057039970361586,-0.0008209433690155277,1.1881846116078686e-06,2.285906598426853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S619,112983,0.24799680658807916,0.010374439158671067,-0.04132916043073133,-0.009495464711096835,-0.009944384783271948,-0.09354709860883553,0.0014305578040164503,0.01739807415964331,-0.025220545648056696,-0.015545112092561193,0.019341785491356338,-0.008605914211401994,-0.008029694090590902,0.009814647413784851,0.0035621200551723695,-0.0010701531116738576,-0.001323677017084414,0.003860089360006035,0.00046766122972540614,-0.0011470726696282353,-0.0003432311631631449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S797,112991,0.1791057286281189,0.021985009632776897,-0.01742035399389058,0.028567655297236236,-0.01971679627381226,-0.017027379795604595,-0.024268529601101468,-0.032776607304871086,-0.007663069376849036,-0.010727716794237112,-0.033272304902498405,-0.0073343836370242665,-0.019584082109129052,0.0015168003670278786,0.006116126324810833,-0.00490557973295483,0.0015586599143320057,0.00045956756620419776,-0.0007517058870969197,-0.0004367120634110992,-0.00016804650785265775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1104,113004,0.003429400504227552,-0.032213852506505304,-0.05659952880992138,0.03461617042937583,-0.04885946249511118,0.03500503986089272,0.0467219299324058,0.03511850412069787,0.025049004131914708,-0.04555413701682118,-0.020487302008043776,-0.010245640238328597,-0.000788635952832122,0.003042471386555383,-0.0030084218278834765,-0.0014850826790986146,0.000381891574352388,-0.0008393580982095139,-0.00017195362827970032,0.0004615585079607559,0.0004751287619530635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1133,113008,0.11163224472989652,0.009279076679009889,-0.021583281998921264,0.024593964263877447,0.01760260372782243,0.0113716315253917,-0.03021040729949803,-0.005133735746914253,-0.005305214806938818,0.011084421665034112,0.010157544056838885,-0.0016388965004925258,0.0002339767728846133,0.0011788147378505563,0.00442026281278566,0.013836161019608299,-0.0052962440774240605,0.006307241064037641,0.0030042809509074424,0.00030083553144136254,-0.0011066096892996457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1226,113012,0.11085793374347888,0.05780916898402069,0.15131944618386395,-0.07874362197086823,-0.022232930651078855,-0.003981767464486151,0.006563283873547922,-0.08334633712093378,0.0210774290405955,0.0011880166431624969,-0.004289673561850017,-0.011673900626366444,-0.0026901002572330733,0.00307200257407566,-0.00042089501895789636,-7.579942244091393e-05,2.499700200362909e-05,0.00018439127260127242,1.1754400053337902e-05,-0.00015366352176006528,-6.533766692224405e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2018,113036,-0.18651991239859775,-0.023745613032141445,0.015741141632235552,-0.0027944905442788617,-0.023498541654431424,-0.009771091455973442,-0.010931263281631525,-0.0012834843480427737,0.010390089853265299,0.010646564156796483,-0.0020443996377351196,-0.0031652517066625393,-0.0030753113547343463,-0.009273861902384333,0.008065712604189638,0.005593311800577158,-0.0008668582109099404,-0.0007344481396243278,-0.004492976597701015,-0.0034970649849536605,0.0012509889953433984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2284,113040,-0.04116938508170431,-0.011749372194591432,-0.03366843662897122,-0.08681055950364835,-0.0002646615582496056,-0.000578403434041858,-0.05011828784249444,0.045511145229393875,-0.015136689745446606,0.0016834882608216576,-0.006092551430165632,-0.026894833193863453,0.008481917799915445,-0.007172594876469521,-0.0009319064563085176,0.0012237227492590955,0.0002613514056934225,-0.0016610457386733463,0.00012726285101532521,0.000651981151777879,0.0003726068251907693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3204,113062,0.2820056660697739,0.02079814737453798,0.031429863480611345,0.068015777761787,-0.004852536598906752,0.031625691640124715,0.013670861089840216,0.005735937973478123,0.02304949988729475,0.011235912384859534,0.006972796114716772,-0.01872198437129775,-0.005369610574101851,0.00350590808615484,-0.0023888967351966828,0.0012705402700827328,0.0006031704585166211,-0.0014691601654590102,0.00046948398790229835,0.0002631318810958462,-0.00010692286070120112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3470,113074,-0.12212042728933879,-0.04503831785470073,0.022531240903595227,-0.06541651132005782,0.011586866124418626,-0.024145151722328864,-0.010945730748025264,0.016235946007823392,-0.009374121166199382,-0.040831631158084775,0.022764578731184728,0.01367002843222157,-0.008272864590490106,0.0024704216191713787,0.0001721786099578376,-0.003922782954554381,0.00037397068602225197,0.0004679944882340849,0.0004204501876781342,6.356320433782532e-05,-0.00038776589510620214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1166b,113099,0.11647019604042659,-0.010219524366371205,0.05554406985096019,0.07795955806626453,-0.15802649894161075,-0.010432080235871046,0.0025135908262172084,0.015629533608229017,-0.026857554547482794,0.011392275822766525,0.011772894982582346,0.011506956496003005,0.00485792833905867,-0.0047226084217391225,0.0008001865097164787,-0.0012721942282009687,-0.00018276902150954176,-0.00019030271691704357,-2.7800108003888376e-05,0.00016057866812381564,-9.07901697430074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN11,113114,-0.18542813560420482,-0.023340432799075942,0.020080323159784214,-0.00869155027316347,-0.017713117956285294,-0.009510690707506082,-0.011465490761205413,-0.01202014962428687,0.011511055961602871,0.007753401459206337,-0.0036646513791083984,-0.011341704104756666,-0.004441054294182651,0.004273792681000437,-0.0021808714500405504,-0.003109456187967042,-0.0020799831653626187,0.007329808500912151,0.0014316132767555087,0.0026634689047698207,0.0028669339377310117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN110,113115,0.013758173501642974,-0.053592266390530253,-0.02915518693646532,0.02622434334192737,0.019902183731144423,0.010695907346173003,-0.004988876928742365,-0.007359397706995386,0.008490026028311927,0.0030191862276228443,-0.007974055993001534,-0.0008574626899363776,-0.002223049208615254,-0.018178198744615025,-0.0034670671669426783,-0.00013754755992038685,-0.0012639568775356538,0.001220490132258173,0.002468142662826285,0.0005217987729832452,0.0014619043449689872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN126,113121,-0.2283971069709369,-0.0020439794224788063,0.01049072361661514,-0.0014711352378545275,-0.018860885776976817,-0.013161632656641277,-0.01581093344918951,-0.005461531134158158,0.023154909469499066,0.012923189526625273,0.0022576903829963158,-0.0019545597591626523,-0.01563738220802457,-0.009374289296422101,-0.010823557691312467,0.00510062194052243,-7.559752625345978e-05,-0.0005390693499247447,-0.0020042120457731886,-0.0018404643551122475,-0.0027204643412083902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN127,113122,-0.26163664425392524,0.02146888968292391,0.02355283075594776,0.012625327765230048,0.0044153528812062234,-0.0015876541024845699,-0.021586817244339654,4.65117819719628e-05,0.001247708388657683,-0.006363223791732824,-0.004285181797516417,0.008931094652320925,0.0032621510462370377,0.0019103203775766536,0.0027286032791599855,-0.0014814229458707674,-0.0022464042968967945,-0.0036708946522851565,0.005323077016475357,-0.006712444644076904,0.001876529626196118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
