sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
S31,112953,0.40685471798201567,-0.27458660882869124,0.12244760021442103,0.15361753945605292,-0.04273687790846742,0.0004134008373102774,0.026685365059184674,-0.02154198686066932,-0.004997028189139473,0.004501883734907229,-0.0017838057715626053,-0.0032500330258784784,0.005723858813066798,0.0012421996313793956,0.0012206698792003763,-0.0007012858465903367,0.0002060937454308663,-0.00017217338629253457,0.00015190498065958383,6.357676194901121e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2893,113194,-0.6177988243846653,0.07796622566335627,0.1065706006211102,0.043433793512892865,-0.049925261675665196,-0.09820154543817436,-0.06628015332656739,-0.03974975110385169,0.0036511523552014142,-0.012983372123575605,-0.007601659620063541,-0.0014878253709830396,0.006747287564157295,0.0016640271107979496,0.002584387944994174,-0.000609544165492593,-3.6768522482604454e-05,1.77514795050063e-05,0.0003033988015010824,4.696031428507745e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN172,113138,0.1472585137712755,-0.12659093642348718,0.019301544491136947,-0.11131665258565776,0.007161600682670479,-0.0005118438332397614,-0.0035091635900793097,0.06675647353221062,-0.021105575185359684,0.01867494891696874,0.003189045609208796,-0.00487507059594406,-0.0050173801710969995,-0.001785261490567249,0.004127135391665454,0.0004170690963328192,0.0009181872934115876,-8.244555345193887e-05,-5.776794284613962e-06,-9.190942180107455e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN33,113160,-0.4746865961053098,0.00705555901259444,0.004648769997542099,-0.002703586020108579,-0.02233722517563987,-0.05101997493968322,0.03701650710174839,0.043750043475578065,-0.0002982835738647296,0.03687967596867103,0.0029893994783790193,0.012491444751704653,-0.004508139119074586,-0.001820799217015214,-0.002860403652337588,0.0009845209743682137,0.002863591150005049,-0.0009672276585098049,0.0005035014996840979,1.4143977187524134e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN42,113166,-0.06679571012156009,-0.07344689887494438,-0.05096035921309171,0.014937300087077728,-0.008852133739671557,-0.04413850931418436,-0.013391587609341806,0.0038689045006120625,0.0009435640460702266,0.005631438147939753,-0.003555776510448685,0.014133000616547282,-0.022202758023649804,0.019089506717873343,0.003350778716487858,0.00951633324415442,-0.002258379331327532,0.002261051747167341,-0.0008336416734269782,-0.00012011960442153608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN63,113176,0.0068645245532160705,-0.06871885661533111,-0.05007056497692787,0.004823482744273995,-0.041457456484460795,-0.03606797844117083,-0.024558928290163207,0.03259395413752607,0.0004775043250174326,0.034224095084132135,-0.027187743428944228,-0.017990518030572066,-0.008665432190316518,-0.0032112558957395495,-0.004077693346199199,-0.00345004479988436,0.004693090434361189,-0.002269498579826548,0.0010946521196902174,-3.394160490507991e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S619,112983,0.48110787766719687,0.035982451208735104,-0.011179005492168005,-0.04919387232303223,0.02688324202412218,-0.08481912380645837,0.03864957786607552,-0.013367796233155226,0.03864959290683053,-0.006296145051527223,-0.015982914216022603,0.0009700042517599214,-0.013620403575001345,-0.027372674718302018,-0.0029871427382803933,0.002509976203442115,-0.00191397606597841,0.0023125316601895073,-0.00028949792871164545,-0.00038357249159631703,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN72,113180,0.18735709481228616,-0.0356852222864599,-0.016807928104412534,0.033648070797070516,-0.02871291616115776,-0.04864619089607503,-0.0030349366793134707,0.02485154637603359,-0.022549341830379533,0.022498925308542462,0.014391841404890948,0.027602294349123216,0.023843951102186463,0.0029934336047306,-0.003929220788269821,-0.0010159379467925478,-0.004140305904716724,0.0007258136046917831,-0.0011380042067465706,3.5022385834504325e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN92,113188,0.42793100945397944,0.030868886766096157,-0.013774867484555683,-0.10398911765037001,-0.023467142755196832,-0.07620674914275188,0.024789108777069354,0.0024086832133240273,-0.0004126065196567533,0.005054018190791021,0.02019846568689065,-0.011000863353685737,0.001712972085921656,0.0154184183577171,0.00471964208599685,-0.00429305954370355,-6.432689959137594e-05,-0.0010977929886057942,-0.00024193200190302113,0.0002056884502949982,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S231,112961,0.4535598657290632,0.044850004316390045,-0.005765006323314182,-0.051683214917345836,0.07379536890572569,0.023305636846403594,0.036281152796167934,-0.003194024259416812,0.02618459181521367,0.0025061232738082485,-0.03187289171591764,0.02209361607344342,0.02913725510716266,0.014413912144963317,0.0055993367835296005,0.0005569304568691112,0.0006989353643850517,-0.001206457429808358,0.0008049484761838479,0.00010071848644038744,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
