ITS2 type profile UID		87073	87706	87731	87130	87746	87143	87823	87232	87277	87732	87721	87733	87409	87747	87408	87697	87410	87720	87285	87320	87257	87776	87425	87435	87436	87327	87384	87388	87786	87149	87936	87617	87549
Clade		C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D
Majority ITS2 sequence		C27	C15	C15	C31	C1d	C1d	C31	C1	C42.2	C31	C1	C17d/C31	C31	C1d	C31	C1	C1d	C1	C1d/C42.2	C15	C1/C3	C1/C15	C31	C31	C1d	C15h	C31	C31	C42.2	C15h	D1/D4	D1/D4	D1
Associated species		None	None	None	None	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	None	S. goreaui	None	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	None	S. goreaui	S. goreaui	None	None	None	None	None	None	S. goreaui	None	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		38	31	31	21	20	14	10	9	9	8	7	7	7	6	5	4	4	3	3	2	2	2	1	1	1	1	1	1	1	1	27	7	2
ITS2 profile abundance DB		104	56	151	97	88	63	25	21	91	168	132	52	15	10	5	62	4	85	383	31	155	28	7	27	14	36	14	28	78	42	34	135	76
ITS2 type profile		C27-C3-C21-C27a	C15-C15ci-C15n-C15cj-C15cc-C15cl-C15l	C15-C15ci-C15cj-C15cm-C15ch-C15n-C15ck	C31-C17d-C31.1-C31a-C21-C17e-C21ac	C1d/C42.2/C1-C1k-C1b	C1d/C42.2/C1	C31/C17d-C21-C31.9-C31h-C31i-C21ac	C1/C1b-C1u-C3-C1bo	C42.2/C1-C1b-C3-C1au	C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f	C1/C3-C1c-C1b-C72k-C42.2	C17d/C31-C21-C21ac-C17e-C17f-C31.9	C31-C17d-C21-C31a-C21ac-C31g	C1d-C1df-C42.2-C1	C31-C17d-C21-C21ac-C31.1-C31a	C1/C3-C1c-C1b-C1w-C42.2	C1d-C42.2-C1ag-C1k-C42ax-C42ay-C1	C1/C1c-C1b-C1al-C72k	C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C15-C15n	C1/C3	C15/C1/C3/C1b	C31/C17d-C31.1	C31/C17d	C1d/C31	C15h/C15	C15/C31/C17d-C21-C15cl	C31/C17d-C21-C21ac-C31.9	C1/C42.2/C3cg/C1j-C1b-C3-C1au-C45c-C115k	C15h	D4/D1-D6-D1ab-D17d-D17j-D3h	D4/D1/D6-D1ab-D3h	D1/D4/D6/D1ab
113106	S761b	0.9780912364945978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113023	S1556	0.9754634286535422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113046	S2663	0.96875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
