sample_name,sample_name,Type,Parent.ID,Treatment,Species,Time.Point,Depth,Tank.num,Clade,Dups,Frag.ID
S1240,S1240,,,,,,,,,,
S3149,S3149,,,,,,,,,,
S302bTC,S302,field,302,,Pocillopora_acuta,TC,,,,Yes,
S303TC,S303,field,303,,Pocillopora_acuta,TC,,,,,
S304TF,S304,field,304,,Pocillopora_acuta,TF,,,,,
S306T1,S306,field,306,,Pocillopora_acuta,T1,,,,,
S306TF,S306,field,306,,Pocillopora_acuta,TF,,,,,
S306TFb,S306,field,306,,Pocillopora_acuta,TF,,,,Yes,
S308T1,S308,field,308,,Pocillopora_acuta,T1,,,,,
S308TF,S308,field,308,,Pocillopora_acuta,TF,,,,,
S310TF,S310,field,310,,Pocillopora_acuta,TF,,,,,
S311TF,S311,field,311,,Pocillopora_acuta,TF,,,,,
S312TF,S312,field,312,,Pocillopora_acuta,TF,,,,,
S313T1,S313,field,313,,Porites_compressa,T1,,,,,
S313TF,S313,field,313,,Porites_compressa,TF,,,,,
S314TC,S314,field,314,,Porites_compressa,TC,,,,,
S314TF,S314,field,314,,Porites_compressa,TF,,,,,
S315TF,S315,field,315,,Porites_compressa,TF,,,,,
S316T1,S316,field,316,,Porites_compressa,T1,,,,,
S316TC,S316,field,316,,Porites_compressa,TC,,,,,
S316TF,S316,field,316,,Porites_compressa,TF,,,,,
S317TC,S317,field,317,,Porites_compressa,TC,,,,,
S317TF,S317,field,317,,Porites_compressa,TF,,,,,
S318T1,S318,field,318,,Porites_compressa,T1,,,,,
S318TC,S318,field,318,,Porites_compressa,TC,,,,,
S318TF,S318,field,318,,Porites_compressa,TF,,,,,
S319T1,S319,field,319,,Porites_compressa,T1,,,,,
S319TC,S319,field,319,,Porites_compressa,TC,,,,,
S319TF,S319,field,319,,Porites_compressa,TF,,,,,
S320TC,S320,field,320,,Porites_compressa,TC,,,,,
S321T1,S321,field,321,,Porites_compressa,T1,,,,,
S321TC,S321,field,321,,Porites_compressa,TC,,,,,
S321TF,S321,field,321,,Porites_compressa,TF,,,,,
S322T1,S322,field,322,,Porites_compressa,T1,,,,,
S322TC,S322,field,322,,Porites_compressa,TC,,,,,
S322TF,S322,field,322,,Porites_compressa,TF,,,,,
S323T1,S323,field,323,,Porites_compressa,T1,,,,,
S323TC,S323,field,323,,Porites_compressa,TC,,,,,
S323TF,S323,field,323,,Porites_compressa,TF,,,,,
S324T1,S324,field,324,,Porites_compressa,T1,,,,,
S324TC,S324,field,324,,Porites_compressa,TC,,,,,
