Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
23-Mar-17,1,A1,N11b,19:28,335,1072,687,
23-Mar-17,1,A2,N7b,,428,1314,674,
23-Mar-17,1,A3,N21b,,537,1610,660,
23-Mar-17,1,A4,N56b,,116,548,788,
23-Mar-17,1,A5,263b,,431,1271,660,
23-Mar-17,2,A1,N109b,,117,328,690,
23-Mar-17,2,A2,N94b,,326,1265,742,
23-Mar-17,2,A3,49b,,575,1356,575,
23-Mar-17,2,A4,N111b,,105,487,784,
23-Mar-17,2,A5,616b,,435,1621,731,
23-Mar-17,3,A1,74b,,740,2051,639,
23-Mar-17,3,A2,N87b,,153,602,745,
23-Mar-17,3,A3,N18b,,124,430,711,
23-Mar-17,3,A5,1982b,,402,1277,685,
23-Mar-17,4,A1,N145b,,252,897,719,
23-Mar-17,4,A2,N25b,,567,1629,651,
23-Mar-17,4,A3,1240b,,465,1001,535,
23-Mar-17,4,A4,N85b,,121,543,777,
23-Mar-17,4,A5,N30b,,102,453,774,
23-Mar-17,5,A1,N50b,,724,2033,643,
23-Mar-17,5,A2,N82b,,552,1762,686,
23-Mar-17,5,A3,755b,,96,478,799,
23-Mar-17,5,A4,488b,,365,1009,638,
23-Mar-17,5,A5,N19b,,591,1622,635,
23-Mar-17,6,A1,208b,,272,938,710,
23-Mar-17,6,A2,N107b,,636,1897,664,
23-Mar-17,6,A3,N64b,,193,670,711,
23-Mar-17,6,A4,1115b,,109,431,747,
23-Mar-17,6,A5,N47b,,636,1984,479,
23-Mar-17,7,A1,N72b,,391,1408,722,
23-Mar-17,7,A2,148b,,404,1000,596,
23-Mar-17,7,A4,N33b,,557,1633,658,
23-Mar-17,7,A5,N60b,,649,2167,700,
23-Mar-17,8,A1,N84b,,733,2588,716,
23-Mar-17,8,A3,322b,,683,2087,672,
23-Mar-17,8,A4,N38b,,367,1327,723,
23-Mar-17,8,A5,N6b,,149,525,716,
23-Mar-17,9,A1,31b,,410,1279,679,
23-Mar-17,9,A2,231b,,286,956,700,
23-Mar-17,9,A3,391b,,449,1109,595,
23-Mar-17,9,A4,N4b,,126,495,745,
23-Mar-17,9,A5,1753b,,682,2074,671,
23-Mar-17,11,A1,N35b,,547,1361,598,
23-Mar-17,11,A2,N70b,,359,1099,673,
23-Mar-17,11,A3,914b,,817,1720,525,
23-Mar-17,11,A4,N2b,,10,488,754,
23-Mar-17,11,A5,N9b,,224,781,713,
20-Mar-17,9,F4,1108b,,504,1398,639,
21-Mar-17,5,B5,N102b,,163,618,736,
20-Mar-17,8,D2,N104b,,113,477,763,
20-Mar-17,9,B5,N132b,,101,446,773,
21-Mar-17,5,D3,N169b,,154,533,711,
20-Mar-17,1,B1,N170b,20:18,105,437,759,
20-Mar-17,8,C3,N197b,,119,532,776,
20-Mar-17,9,D3,N198b,,170,602,717,
20-Mar-17,4,E2,N209b,,176,415,575,
20-Mar-17,4,C3,N89b,,182,588,690,
21-Mar-17,6,F1,1013b,,114,401,715,
21-Mar-17,5,E1,1061b,,152,559,728,
22-Mar-17,7,F1,1107b,,260,898,710,
20-Mar-17,4,E5,1195b,,272,633,570,
20-Mar-17,4,B1,1279b,,143,358,600,
22-Mar-17,2,F1,1284b,,166,531,687,
20-Mar-17,4,F1,1330b,,173,401,568,
20-Mar-17,1,F1,1412b,,182,666,726,
21-Mar-17,5,B2,1443b,,141,439,678,
22-Mar-17,2,D1,1771b,,126,490,742,
20-Mar-17,1,C4,1895b,,105,439,760,
22-Mar-17,3,B1,2124b,,102,373,726,
21-Mar-17,3,E3,2402b,,122,394,690,
22-Mar-17,11,D5,2736b,,211,896,764,
22-Mar-17,7,E1,2879b,,188,668,718,
22-Mar-17,2,D4,2893b,,150,595,747,
21-Mar-17,3,B4,3025b,,128,465,724,
20-Mar-17,9,E2,3035b,,106,369,712,
21-Mar-17,6,E4,3059b,,101,365,723,
20-Mar-17,9,F1,3075b,,104,375,722,
20-Mar-17,1,"D5",3081b,,164,568,711,
22-Mar-17,2,B2,3085b,,137,473,710,
22-Mar-17,11,B2,3086b,,129,485,734,
21-Mar-17,6,C5,314b,,223,827,730,
21-Mar-17,3,D5,3477b,,103,384,731,
21-Mar-17,6,C2,3486b,,104,365,715,
21-Mar-17,6,E1,3487b,,164,540,696,
22-Mar-17,7,B5,3489b,,120,473,746,
22-Mar-17,11,E1,3490b,,115,488,764,
22-Mar-17,7,D3,3512b,,143,546,738,
22-Mar-17,2,C5,3513b,,124,501,752,
20-Mar-17,1,E1,428b,,148,482,692,
20-Mar-17,8,B1,431b,20:50,153,598,744,
22-Mar-17,7,E4,473b,,169,645,737,
22-Mar-17,11,D3,477b,,135,529,744,
21-Mar-17,5,F1,478b,,142,530,732,
21-Mar-17,3,F1,617b,,130,472,724,
20-Mar-17,8,F1,706b,,138,581,762,
20-Mar-17,1,E3,785b,,134,498,730,
