Date,Tank,GridLoc,Frag.ID,Time,F0,FM,Yield,Notes
17-May-17,6,A3,1437,,211,565,626,
17-May-17,6,B1,881,,275,727,621,
17-May-17,6,B2,2284,,388,1124,654,
17-May-17,6,B3,925,,691,1720,598,
17-May-17,6,C1,3487,,139,315,558,
17-May-17,6,C2,3486,,136,425,680,
17-May-17,6,C3,1013,,104,352,704,
17-May-17,6,D1,3516,,NA,NA,NA,
17-May-17,6,D2,3473,,415,1203,655,
17-May-17,8,A1,N105,,1203,2596,536,
17-May-17,8,A2,N152,,518,1389,627,
17-May-17,8,A3,2214,,703,2184,563,
17-May-17,8,B1,3164,,138,437,684,
17-May-17,8,B2,2226,,124,384,677,
17-May-17,8,B3,706,,133,414,678,
17-May-17,8,C1,2478,,607,1267,520,
17-May-17,8,C2,N211,,997,2598,616,
17-May-17,8,C3,N223,,652,1637,601,
17-May-17,8,D1,1533,,674,1742,613,
17-May-17,8,D2,3442,,759,2170,650,
17-May-17,8,D3,N208,,475,1501,683,
17-May-17,8,E1,907,,592,1045,433,
17-May-17,8,E2,422,,497,912,455,
17-May-17,8,E3,N217,,190,437,565,
17-May-17,8,F1,3323,,893,2238,600,
17-May-17,8,F2,3675,,107,325,670,
17-May-17,1,A1,N183,,480,1444,667,
17-May-17,1,A2,3317,,201,523,615,
17-May-17,1,A3,832,,541,1100,508,
17-May-17,1,B1,3081,,204,534,617,
17-May-17,1,B2,425,,130,408,681,
17-May-17,1,B3,1412,,130,371,649,
17-May-17,1,C1,244,,436,898,514,
17-May-17,1,C2,697,,1012,2297,559,
17-May-17,1,C3,1537,,1245,3128,601,
17-May-17,1,D1,N77,,976,2495,608,
17-May-17,3,A1,2018,,382,966,604,
17-May-17,3,A2,3480,,498,973,488,
17-May-17,3,A3,2328,,527,1114,526,
17-May-17,3,B1,1502,,863,1844,531,
17-May-17,3,B2,3484,,163,460,645,
17-May-17,3,B3,617,,NA,NA,NA,
17-May-17,3,C1,N141,,374,942,602,
17-May-17,3,C2,3517,,789,2083,621,
17-May-17,3,C3,3357,,503,1068,529,
17-May-17,3,D1,3116,,432,1324,673,
17-May-17,3,D2,2731,,262,526,501,
17-May-17,5,A1,377,,554,1809,693,
17-May-17,5,A2,1061,,154,486,683,
17-May-17,5,A3,N169,,139,452,692,
17-May-17,5,B1,478,,144,462,688,
17-May-17,5,B2,N205,,972,2405,595,
17-May-17,5,B3,1688,,596,1842,676,
17-May-17,5,C1,417,,661,1363,515,
17-May-17,5,C2,2730,,381,1209,684,
17-May-17,5,C3,N158,,128,433,704,
17-May-17,5,D1,3337,,768,2070,628,
17-May-17,5,D2,N102,,166,496,665,
17-May-17,5,D3,766,,1090,2749,603,
17-May-17,5,E1,N42,,393,1219,677,
17-May-17,5,E2,657,,555,1594,651,
17-May-17,11,A1,335,,427,1291,669,
17-May-17,11,A2,1526,,503,1199,580,
17-May-17,11,A3,840,,292,739,604,
17-May-17,11,B1,3476,,64,115,443,
17-May-17,11,B2,3471,,856,2030,578,
17-May-17,11,B3,2683,,742,1727,570,
17-May-17,11,C1,N138,,991,2431,592,
17-May-17,11,C2,477,,41,120,658,
17-May-17,11,C3,2136,,139,352,605,
17-May-17,11,D1,3444,,816,2070,605,
17-May-17,11,D2,3204,,375,1240,697,
17-May-17,11,D3,1803,,478,1387,655,
17-May-17,11,E1,3224,,367,1142,768,
17-May-17,11,E2,1008,,193,350,448,
17-May-17,11,E3,1413,,920,2471,627,
17-May-17,11,F1,972,,1060,2520,579,
17-May-17,9,A1,N132,,167,510,672,
17-May-17,9,A2,N96,,494,1429,654,
17-May-17,9,A3,471,,544,1088,500,
17-May-17,9,B1,N98,,906,2499,637,
17-May-17,9,B2,779,,82,267,629,
17-May-17,9,B3,1226,,324,1006,677,
17-May-17,9,C1,3199,,568,1530,628,
17-May-17,9,C2,982,,852,2327,633,
17-May-17,9,C3,955,,582,1182,507,
17-May-17,9,D1,N131,,1036,2566,596,
17-May-17,9,D2,1736,,506,1581,679,
17-May-17,7,A1,1240,,734,1618,546,
17-May-17,7,E1,579,,1418,3404,583,
17-May-17,7,E2,1037,,410,1043,606,
17-May-17,7,E3,N127,,362,1068,661,
17-May-17,7,F1,403,,174,571,695,
17-May-17,7,A1,3485,,921,2041,548,
17-May-17,7,A2,1107,,131,416,685,
17-May-17,7,A3,2879,,184,524,648,
17-May-17,7,B1,508,,885,2169,591,
17-May-17,7,B2,1929,,909,2171,581,
17-May-17,7,B3,3422,,442,1408,686,
