Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A1,Default,Global,All Events,Global,Global,"2,575",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,19.216418
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,490,Disabled,Disabled,"1,119,121.88","6,283,706.00","548,488.00","7,753,199.50",Disabled,Disabled,127.93%,43.70%,3.656716
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A1,Default,BL3-H vs Count,R1,BL3-H,Count,105,Disabled,Disabled,"4,373,908.50",---,"4,338,250.00",---,Disabled,Disabled,30.95%,---,0.783582
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A2,Default,Global,All Events,Global,Global,"3,230",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,23.925926
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,728,Disabled,Disabled,"1,220,025.13","5,464,352.50","533,712.50","6,856,298.00",Disabled,Disabled,131.54%,54.53%,5.392593
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A2,Default,BL3-H vs Count,R1,BL3-H,Count,203,Disabled,Disabled,"4,416,998.00",---,"4,739,460.00",---,Disabled,Disabled,30.93%,---,1.503704
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A3,Default,Global,All Events,Global,Global,"4,572",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,33.866667
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,759",Disabled,Disabled,"839,966.31","7,111,304.50","600,142.00","8,216,856.00",Disabled,Disabled,108.87%,32.90%,13.02963
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A3,Default,BL3-H vs Count,R1,BL3-H,Count,181,Disabled,Disabled,"4,105,532.75",---,"3,876,523.00",---,Disabled,Disabled,30.72%,---,1.340741
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A4,Default,Global,All Events,Global,Global,"19,118",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,141.614815
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,349",Disabled,Disabled,"1,337,446.13","6,035,724.00","776,280.00","7,221,970.00",Disabled,Disabled,104.63%,46.52%,32.214815
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A4,Default,BL3-H vs Count,R1,BL3-H,Count,713,Disabled,Disabled,"5,229,173.00",---,"5,634,674.00",---,Disabled,Disabled,21.32%,---,5.281481
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A5,Default,Global,All Events,Global,Global,"25,574",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,189.437037
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,908",Disabled,Disabled,"1,483,392.63","5,206,031.50","837,337.00","6,922,344.50",Disabled,Disabled,102.11%,62.90%,36.355556
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A5,Default,BL3-H vs Count,R1,BL3-H,Count,"1,012",Disabled,Disabled,"4,275,699.00",---,"4,287,601.50",---,Disabled,Disabled,28.32%,---,7.496296
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A6,Default,Global,All Events,Global,Global,"16,691",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,124.559701
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,432",Disabled,Disabled,"1,850,931.50","3,967,709.50","1,065,210.50","3,729,957.50",Disabled,Disabled,88.08%,61.42%,25.61194
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A6,Default,BL3-H vs Count,R1,BL3-H,Count,"2,291",Disabled,Disabled,"4,000,879.25",---,"3,873,823.00",---,Disabled,Disabled,27.88%,---,17.097015
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A7,Default,Global,All Events,Global,Global,"5,007",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,37.088889
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A7,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,402",Disabled,Disabled,"1,026,189.88","3,836,223.75","475,003.50","3,790,801.50",Disabled,Disabled,135.18%,49.19%,10.385185
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A7,Default,BL3-H vs Count,R1,BL3-H,Count,"1,170",Disabled,Disabled,"4,090,258.50",---,"4,007,387.00",---,Disabled,Disabled,26.74%,---,8.666667
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A8,Default,Global,All Events,Global,Global,"25,548",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,190.656716
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"2,596",Disabled,Disabled,"2,035,307.38","4,498,614.00","1,303,413.00","4,828,076.00",Disabled,Disabled,84.33%,68.38%,19.373134
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A8,Default,BL3-H vs Count,R1,BL3-H,Count,841,Disabled,Disabled,"4,276,855.00",---,"4,170,953.00",---,Disabled,Disabled,28.90%,---,6.276119
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A9,Default,Global,All Events,Global,Global,"7,152",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,52.977778
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A9,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,658,Disabled,Disabled,"2,663,056.75","3,772,131.00","2,504,689.00","1,114,201.00",Disabled,Disabled,72.07%,90.06%,4.874074
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A9,Default,BL3-H vs Count,R1,BL3-H,Count,172,Disabled,Disabled,"3,646,535.00",---,"3,252,149.50",---,Disabled,Disabled,35.88%,---,1.274074
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A10,Default,Global,All Events,Global,Global,"5,826",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,43.155556
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A10,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,833,Disabled,Disabled,"1,432,807.13","4,802,542.00","747,963.00","4,803,594.00",Disabled,Disabled,107.08%,56.19%,6.17037
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A10,Default,BL3-H vs Count,R1,BL3-H,Count,468,Disabled,Disabled,"4,216,220.50",---,"4,194,832.50",---,Disabled,Disabled,26.14%,---,3.466667
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A11,Default,Global,All Events,Global,Global,"12,733",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,94.318519
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A11,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,608",Disabled,Disabled,"1,970,812.50","4,774,190.00","1,235,245.00","5,999,397.50",Disabled,Disabled,83.64%,65.28%,11.911111
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A11,Default,BL3-H vs Count,R1,BL3-H,Count,431,Disabled,Disabled,"4,761,587.50",---,"5,237,654.00",---,Disabled,Disabled,27.23%,---,3.192593
Symbio.Counts.Apr.02.PlateE,Experiment,samples,A12,Default,Global,All Events,Global,Global,"4,249",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,31.474074
