Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A1,Default,Global,All Events,Global,Global,"24,023",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","177.948148"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,469",Disabled,Disabled,"1,011,348.312500","4,852,968.000000","622,727.0","5,233,464.0",Disabled,Disabled,"118.930935%","51.154021%","33.103704"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A1,Default,BL3-H vs Count,R1,BL3-H,Count,"2,376",Disabled,Disabled,"4,479,943.500000","---","4,578,832.0","---",Disabled,Disabled,"26.065161%","---","17.600000"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A2,Default,Global,All Events,Global,Global,"4,884",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","36.177778"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"987",Disabled,Disabled,"1,091,275.750000","6,114,825.500000","663,188.0","7,731,047.0",Disabled,Disabled,"111.675440%","48.013582%","7.311111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A2,Default,BL3-H vs Count,R1,BL3-H,Count,"123",Disabled,Disabled,"4,831,486.500000","---","5,321,388.0","---",Disabled,Disabled,"25.662206%","---","0.911111"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A3,Default,Global,All Events,Global,Global,"13,644",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","101.820896"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,646",Disabled,Disabled,"1,303,536.125000","4,409,924.500000","968,806.0","4,627,139.5",Disabled,Disabled,"99.928234%","71.466671%","12.283582"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A3,Default,BL3-H vs Count,R1,BL3-H,Count,"368",Disabled,Disabled,"4,431,770.500000","---","4,567,743.5","---",Disabled,Disabled,"27.795638%","---","2.746269"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A4,Default,Global,All Events,Global,Global,"21,401",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","159.708955"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,199",Disabled,Disabled,"1,254,127.000000","4,149,752.500000","730,470.0","4,442,969.0",Disabled,Disabled,"109.652422%","60.201404%","23.873134"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A4,Default,BL3-H vs Count,R1,BL3-H,Count,"1,640",Disabled,Disabled,"4,559,469.000000","---","4,717,545.0","---",Disabled,Disabled,"24.715951%","---","12.238806"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A5,Default,Global,All Events,Global,Global,"32,926",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","243.896296"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"2,743",Disabled,Disabled,"1,383,547.625000","4,392,331.000000","843,868.0","3,545,131.0",Disabled,Disabled,"102.690764%","79.328089%","20.318519"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A5,Default,BL3-H vs Count,R1,BL3-H,Count,"337",Disabled,Disabled,"4,099,191.750000","---","4,126,640.0","---",Disabled,Disabled,"30.358533%","---","2.496296"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A6,Default,Global,All Events,Global,Global,"36,623",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","271.281481"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"4,657",Disabled,Disabled,"1,554,697.375000","5,799,638.000000","1,152,240.0","7,133,215.0",Disabled,Disabled,"82.951980%","50.731184%","34.496296"
Symbio.Counts.Dec.14.2018.PlateA,Experiment,m_capitata,A6,Default,BL3-H vs Count,R1,BL3-H,Count,"685",Disabled,Disabled,"5,010,017.000000","---","5,562,286.0","---",Disabled,Disabled,"25.541952%","---","5.074074"
