Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A1,Default,Global,All Events,Global,Global,"5,053",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","37.708955"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"1,707",Disabled,Disabled,"1,228,825.625000","2,302,185.000000","881,840.0","2,109,895.0",Disabled,Disabled,"94.247902%","52.763130%","12.738806"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A1,Default,BL3-H vs Count,R1,BL3-H,Count,"1,051",Disabled,Disabled,"3,388,021.250000","---","3,143,136.0","---",Disabled,Disabled,"29.980101%","---","7.843284"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A2,Default,Global,All Events,Global,Global,"44,369",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","328.659259"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"19,811",Disabled,Disabled,"645,725.250000","2,311,374.000000","385,868.0","2,178,171.0",Disabled,Disabled,"117.703311%","53.150956%","146.748148"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A2,Default,BL3-H vs Count,R1,BL3-H,Count,"10,354",Disabled,Disabled,"3,214,094.000000","---","3,021,142.5","---",Disabled,Disabled,"26.819904%","---","76.696296"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A3,Default,Global,All Events,Global,Global,"22,000",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","164.179104"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"14,995",Disabled,Disabled,"485,802.531250","3,079,316.500000","331,612.0","3,015,162.0",Disabled,Disabled,"110.319554%","41.516169%","111.902985"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A3,Default,BL3-H vs Count,R1,BL3-H,Count,"11,488",Disabled,Disabled,"3,499,333.750000","---","3,367,396.5","---",Disabled,Disabled,"26.376425%","---","85.731343"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A4,Default,Global,All Events,Global,Global,"46,699",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","348.500000"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"36,105",Disabled,Disabled,"331,406.843750","2,970,954.250000","226,957.0","2,895,661.0",Disabled,Disabled,"118.806058%","38.625515%","269.440299"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A4,Default,BL3-H vs Count,R1,BL3-H,Count,"27,975",Disabled,Disabled,"3,356,060.250000","---","3,201,623.0","---",Disabled,Disabled,"25.799030%","---","208.768657"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A5,Default,Global,All Events,Global,Global,"28,728",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","212.800000"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"16,265",Disabled,Disabled,"789,236.062500","2,449,730.750000","537,207.0","2,342,831.0",Disabled,Disabled,"101.205390%","45.702696%","120.481481"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A5,Default,BL3-H vs Count,R1,BL3-H,Count,"9,707",Disabled,Disabled,"3,176,654.250000","---","2,989,351.0","---",Disabled,Disabled,"26.195151%","---","71.903704"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A6,Default,Global,All Events,Global,Global,"37,744",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","279.585185"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"17,342",Disabled,Disabled,"676,310.437500","2,522,269.500000","473,805.0","2,360,559.5",Disabled,Disabled,"107.688185%","52.389985%","128.459259"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A6,Default,BL3-H vs Count,R1,BL3-H,Count,"9,799",Disabled,Disabled,"3,356,364.500000","---","3,180,832.0","---",Disabled,Disabled,"27.033635%","---","72.585185"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A7,Default,Global,All Events,Global,Global,"23,767",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","176.051852"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A7,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"11,076",Disabled,Disabled,"828,260.875000","3,449,514.500000","521,770.5","3,263,735.5",Disabled,Disabled,"119.494062%","47.049864%","82.044444"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A7,Default,BL3-H vs Count,R1,BL3-H,Count,"8,358",Disabled,Disabled,"3,811,050.250000","---","3,661,157.0","---",Disabled,Disabled,"28.680076%","---","61.911111"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A8,Default,Global,All Events,Global,Global,"31,467",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","234.828358"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"19,413",Disabled,Disabled,"421,188.000000","3,625,082.750000","283,687.0","3,479,969.0",Disabled,Disabled,"117.790786%","43.669507%","144.873134"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A8,Default,BL3-H vs Count,R1,BL3-H,Count,"14,974",Disabled,Disabled,"3,847,858.750000","---","3,725,854.0","---",Disabled,Disabled,"27.739161%","---","111.746269"
Symbio.Counts.Dec.14.2018.PlateB1,Experiment,p.acuta,A9,Default,Global,All Events,Global,Global,"27,125",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","202.425373"
