Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Symbio.Counts.Dec.14.2018.PlateC,Experiment,RogueMontipora,A11,Default,Global,All Events,Global,Global,"9,287",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","68.792593"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,RogueMontipora,A11,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"2,595",Disabled,Disabled,"1,079,046.875000","6,669,580.500000","795,896.0","7,721,700.0",Disabled,Disabled,"95.837513%","35.421714%","19.222222"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,RogueMontipora,A11,Default,BL3-H vs Count,R1,BL3-H,Count,"506",Disabled,Disabled,"5,008,059.500000","---","5,421,565.0","---",Disabled,Disabled,"23.643661%","---","3.748148"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A1,Default,Global,All Events,Global,Global,"49,776",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","368.711111"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"21,961",Disabled,Disabled,"516,375.000000","2,964,419.000000","214,678.0","2,630,434.0",Disabled,Disabled,"173.993839%","51.973485%","162.674074"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A1,Default,BL3-H vs Count,R1,BL3-H,Count,"14,334",Disabled,Disabled,"3,591,337.250000","---","3,363,603.5","---",Disabled,Disabled,"30.963289%","---","106.177778"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A2,Default,Global,All Events,Global,Global,"15,621",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","115.711111"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"9,260",Disabled,Disabled,"445,400.125000","3,044,371.750000","222,056.5","2,646,808.0",Disabled,Disabled,"180.512845%","48.250489%","68.592593"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A2,Default,BL3-H vs Count,R1,BL3-H,Count,"6,541",Disabled,Disabled,"3,514,214.750000","---","3,198,319.0","---",Disabled,Disabled,"31.940055%","---","48.451852"
Symbio.Counts.Dec.14.2018.PlateC,Experiment,p_compressa,A3,Default,Global,All Events,Global,Global,"23,096",Disabled,Disabled,"0.000000","0.000000","---","---",Disabled,Disabled,"---","---","172.358209"
