Sample.Name,Frag.ID
A1,N209
A2,3035
A3,N30
A4,N111
A5,N4
A6,N86
A7,N109
A8,N56
A9,785
A10,N89
A11,N18
A12,N6
B1,N87
B2,755
B3,
B4,N2
B5,915
B6,3489
B7,N169
B8,1061
B9,1771
B10,N102
B11,428
B12,
C1,
C2,
C3,
C4,554
C5,N108
C6,2424
C7,284
C8,1144
C9,2001
C10,3246
C11,1441
C12,2911
D1,1943
D2,420
D3,3137
D4,1068
D5,N217A
D6,2629
D7,3478
D8,1857
D9,1803
D10,1166
D11,2136
D12,832
E1,N217B
E2,2214
E3,N191
E4,471
E5,1688
E6,1037
E7,2849
E8,1556
E9,955
E10,761
E11,1254
E12,1418
F1,1573
F2,436
F3,263
F4,249
F5,664
F6,1240
F7,1108
F8,616
F9,N35
F10,391
F11,488
F12,2948
G1,914
G2,1982
G3,148
G4,231
G5,N84
G6,3474
G7,1413
G8,N222
,
,
,
,
H1,Standard _curve8
H2,Standard _curve36
H3,diH20
H4,diH20
H5,focusfluid
H6,focusfluid
H7,Standard _curve4
,
,
,
,
,
