Sample.Name,Frag.ID
A1,N45
A2,3482
A3,N150
A4,N190
A5,1133
A6,3473
A7,N92
A8,N152
A9,3472
A10,N63
A11,3469
A12,3479
B1,670
B2,179
B3,2289
B4,N42
B5,2285
B6,1388
B7,1104
B8,3204
B9,N110
B10,N223
B11,
B12,3317
C1,N208
C2,848
C3,N183
C4,840
C5,419
C6,N192
C7,N126
C8,153
C9,N184
C10,N96
C11,N11
C12,N82
D1,N145
D2,N172
D3,3149
D4,797
D5,1753
D6,N94
D7,N38
D8,N40
D9,N72
D10,208
D11,N9
D12,N21
E1,2018
E2,3470
E3,3422
E4,335
E5,N141
E6,N64
E7,N33
E8,1437
E9,N212
E10,1791
,
,
F1,diH2O
F2,focus fluid
,
,
,
,
,
,
,
,
,
,
G1,Focus fluid
G2,diH2O
,
,
,
,
,
,
,
,
,
,
H1,422
