Sample.Name,Frag.ID
A1,N107
A2,2286
A3,N149
A4,N117
A5,809
A6,N134
A7,3458
A8,3488
A9,972
A10,3471
A11,N49
A12,N157
B1,1110
B2,3514
B3,946
B4,3476
B5,N122
B6,1502
B7,N211
B8,3442
B9,N138
B10,N115
B11,3468
B12,N131
C1,N189
C2,579
C3,N77
C4,N105
C5,N181
C6,650
C7,199
C8,N98
C9,3340
C10,N124
C11,N161
C12,N37
D1,3475
D2,49
D3,N25
D4,N78
D5,N3
D6,74
D7,N70
D8,N50
D9,N7
D10,3480
D11,3444
D12,N60
E1,N47
E2,N19
E3,31
E4,N55
E5,3517
E6,634
E7,3491
E8,226
E9,diH20
E10,diH20
E11,Focus
E12,Focus
F1,
F2,
F3,N170
F4,N198
F5,431
F6,3513
F7,1443
F8,N197
F9,1895
F10,2402
F11,314
F12,3490
G1,
G2,3477
G3,2736
G4,3086
G5,3481
G6,490
G7,3085
G8,3025
G9,3512
G10,3059
G11,477
G12,2226
H1,3516
H2,3081
H3,1195
H4,3164
H5,2893
H6,1279
H7,2142
H8,N158
H9,779
H10,403
H11,3487
H12,N104
