Sample.Name,Frag.ID
A1,377
A2,1226
A3,619
A4,N49
A5,1133
A6,N172
A7,
A8,657
A9,2730
A10,965
A11,1533
A12,3116
B1,3467
B2,3337
B3,N205
B4,49
B5,697
B6,1537
B7,2401
B8,766
B9,3289
B10,626
B11,1008
B12,3357
C1,982
C2,2683
C3,3322
C4,3185
D1,2663
D2,1526
D3,775
E5,2731
D6,2328
D7,3383
D8,428
D9,417
D10,925
D11,238
D12,907
E1,244
E2,828
F1,3484
F2,3486
F3,3515
F4,2879
F5,N132
F6,478
F7,3481
F8,N85
F9,N217
F10,473
F11,1330
F12,1013
G1,706
G3,1412
G4,1107
G5,1284
G6,3675
G7,508
