Frag.ID,TotalVolume
N45,10
809,15.8
2424,10
N198,10
N117,10
N149,21
2286,14.7
N108,10
554,10
N190,10.5
N134,10
431,10
1443,10
N197,10
972,11
3471,10
3473,10
N92,10
N170,10
1895,10
1144,10
2402,10
284,10
1791,10
N150,10
3458,10
3488,10
3513,10
3482,10
2001,10
3246,10
3472,10
1441,15.5
N63,10
2911,10
3469,10
3479,10
314,10
3490,10
N157,12.5
670,10
226,11.5
179,10
1943,10
1110,10
3514,10
946,10
1857,16.2
1388,16
3059,10
3512,10
3478,10
3025,10
3085,10
2629,10
2285,10
490,10
N217,10
3086,10
N42,10
2736,10
2284,10
1068,10
3477,10
3137,10
420,10
3476,19.5
477,10
2226,10
1803,10
3516,10
N49MCAP,11.25
N152,14
N122,10
2136,10
1502,10
1104,10
3204,10
N110,10
N211,14
N223,10
832,10
1166,10
422,10
3081,10
1195,10
N217,10.5
3164,10
2214,10
2893,10.5
3442,12.25
3317,10
N191,10
N208,10
N138,21
1279,10
3487,10
955,10
840,10
N189,14.25
1037,10
1556,10
N183,11
N105,19.5
2849,10
N77,16
579,23.5
403,10
1688,10
N131,23
779,10
3468,13.5
N158,10
2142,10
N115,18.5
471,10
848,10
N222,10
3035,10
650,17
1254,10
199,10
N209,10
N104,10
N181,12.5
N192,10
419,11.5
761,10
N126,10
N98,10
153,10
1418,10
3340,11.5
1573,10
N124,10
N161,10
N184,11
N37,10
436,10
3475,10.5
N96,10
1240,10
664,10
N89,10
N78,10
797,10
3149,10
785,10
428,10
N172,10
249,10
263,10
N145,10
N56,10
N109,10
N82,10
N25,10
N49PCOMP,10
N85,10
N4,10
N11,10
N30,11.5
N111,10
N50,12.5
N87,10
N40,10.5
616,12
N6,10
1753,10
N70,10
N38,10
N3,11
74,11.5
1108,10
N94,10
N7,10
N9,10
N2,10
488,12.5
208,10
N107,19
915,10
755,10
N72,16.5
N21,10
391,10
N18,10
N35,10
31,29
N33,10
N84,14
N64,10
231,10
N19,25
N47,14
148,10
1982,10
914,10
N60,16.5
335,10
1061,10
2948,10
3422,19
3470,11
3480,10
2018,10
N141,10
N169,10
3444,10
3489,10
1526,10
3337,13.5
3467,10
3515,10
3486,10
3484,10
1226,10
2663,10
377,10
2328,10
2731,10
1736,10
775,10.5
619,10
N132,10
473,10
2879,11
N205,15.5
3383,10.5
3185,10.5
1413,10
634,10
3517,11
1437,10
3491,10
N102,10.5
3474,10.5
1771,10.5
N55,10
N212,10
1133,10
3481,16
