Frag.ID,TotalVolume
N45,10
2424,10
N198,10
N117,10
N108,10
554,10
N134,10
431,10
1443,10
N197,10
3471,10
3473,10
N92,10
N170,10
1895,10
1144,10
2402,10
284,10
1791,10
N150,10
3458,10
3488,10
3513,10
3482,10
2001,10
3246,10
3472,10
N63,10
2911,10
3469,10
3479,10
314,10
3490,10
670,10
179,10
1943,10
1110,10
3514,10
946,10
3059,10
3512,10
3478,10
3025,10
3085,10
2629,10
2285,10
490,10
N217,10
3086,10
N42,10
2736,10
2284,10
1068,10
3477,10
3137,10
420,10
477,10
2226,10
1803,10
3516,10
N122,10
2136,10
1502,10
1104,10
3204,10
N110,10
N223,10
832,10
1166,10
422,10
3081,10
1195,10
3164,10
2214,10
3317,10
N191,10
N208,10
1279,10
3487,10
955,10
840,10
1037,10
1556,10
2849,10
403,10
1688,10
779,10
N158,10
2142,10
471,10
848,10
N222,10
3035,10
1254,10
199,10
N209,10
N104,10
N192,10
761,10
N126,10
N98,10
153,10
1418,10
1573,10
N124,10
N161,10
N37,10
436,10
N96,10
1240,10
664,10
N89,10
N78,10
797,10
3149,10
785,10
428,10
172,10
249,10
263,10
N145,10
N56,10
N109,10
N82,10
N25,10
49,10
N85,10
N4,10
N11,10
N111,10
N87,10
N6,10
1753,10
N70,10
N38,10
1108,10
N94,10
N7,10
N9,10
N2,10
208,10
915,10
755,10
N21,10
391,10
N18,10
N35,10
N33,10
N64,10
231,10
148,10
1982,10
914,10
335,10
1061,10
2948,10
3480,10
2018,10
N141,10
N169,10
3444,10
3489,10
1526,10
3467,10
3515,10
3486,10
3484,10
1226,10
2663,10
377,10
2328,10
2731,10
1736,10
619,10
N132,10
473,10
1413,10
634,10
1437,10
3491,10
N55,10
N212,10
N190,10.5
N217,10.5
2893,10.5
3475,10.5
N40,10.5
775,10.5
3383,10.5
3185,10.5
N102,10.5
3474,10.5
1771,10.5
972,11
N183,11
N184,11
N3,11
3470,11
2879,11
3517,11
N49,11.25
226,11.5
419,11.5
3340,11.5
N30,11.5
74,11.5
616,12
3442,12.25
N157,12.5
N181,12.5
N50,12.5
488,12.5
3468,13.5
3337,13.5
N152,14
N211,14
N84,14
N47,14
N189,10
2286,14.7
1441,15.5
N205,15.5
809,15.8
1388,16
3481,16
N77,16
1857,16.2
N72,16.5
N60,16.5
650,17
N115,18.5
N107,19
3422,19
3476,19.5
N105,19.5
N149,21
N138,21
N131,23
579,23.5
N19,25
31,29
1133,10
478,10
697,33
3322,25
1537,25
766,10
2730,10
2478,10
1533,18
925,10
417,10
657,15
3289,15
2401,31
1330,10
626,10
965,10
1107,10
1008,10
907,10
706,10
244,10
828,10
982,10
1013,10
508,23
1284,10
3675,10
3116,10
2683,10
1412,10
1929,10
238,10
3357,10
