Frag.ID,Weight,Wax.weight,difference,Surface.area,,y = 41.025x + 7.4667
31,9.2202,10.0767,0.8565,42.6046125,,R2 = 0.98953
74,3.5067,3.9119,0.4052,24.09003,,
148,7.6655,8.2735,0.608,32.4099,,
153,7.6613,8.708,1.0467,50.4075675,,
179,1.348,1.5807,0.2327,17.0132175,,
199,7.2211,7.8884,0.6673,34.8426825,,
208,13.6899,15.5541,1.8642,83.945505,,
226,4.6635,5.0506,0.3871,23.3474775,,
231,11.0721,11.9492,0.8771,43.4497275,,
249,7.8298,8.2079,0.3781,22.9782525,,
263,3.5252,3.6962,0.171,14.481975,,
284,4.1335,4.5714,0.4379,25.4315475,,
314,2.1059,2.5682,0.4623,26.4325575,,
335,3.0128,3.5506,0.5378,29.529945,,
377,4.1879,4.7349,0.547,29.907375,,
391,21.2569,21.7373,0.4804,27.17511,,
403,7.6569,8.8654,1.2085,57.0454125,,
419,9.572,10.7245,1.1525,54.7480125,,
420,8.9975,9.9456,0.9481,46.3625025,,
422,3.1174,3.2564,0.139,13.169175,,
428,5.6852,6.3533,0.6681,34.8755025,,
431,6.3435,7.1681,0.8246,41.295915,,
436,10.9207,11.4054,0.4847,27.3515175,,
471,6.0229,6.4459,0.423,24.820275,,
473,3.8855,4.6052,0.7197,36.9923925,,
477,6.3466,7.1121,0.7655,38.8713375,,
488,48.3613,50.1242,1.7629,79.7896725,,
490,19.5742,20.5706,0.9964,48.34401,,
554,9.2575,9.9378,0.6803,35.3760075,,
579,15.5554,16.9063,1.3509,62.8873725,,
616,26.4938,27.8314,1.3376,62.34174,,
617,0.7294,0.8542,0.1248,12.58662,,
619,11.9447,12.9745,1.0298,49.714245,,
634,2.1556,2.3538,0.1982,15.597855,,
650,7.9637,8.8232,0.8595,42.7276875,,
664,13.629,18.5919,4.9629,211.0696725,,
670,2.2013,2.569,0.3677,22.5515925,,
755,5.4852,6.1001,0.6149,32.6929725,,
761,38.114,40.5344,2.4204,106.76361,,
775,7.9574,8.7343,0.7769,39.3390225,,
779,3.8563,4.2382,0.3819,23.1341475,,
785,8.5765,9.7926,1.2161,57.3572025,,
797,1.6174,2.0215,0.4041,24.0449025,,
809,7.8861,8.5502,0.6641,34.7114025,,
832,2.8392,3.1086,0.2694,18.518835,,
840,1.5133,1.7964,0.2831,19.0808775,,
848,3.6137,4.1475,0.5338,29.365845,,
881,5.775,5.9115,0.1365,13.0666125,,
914,4.7841,5.0581,0.274,18.70755,,
915,6.6818,7.6501,0.9683,47.1912075,,
946,3.6629,3.9749,0.312,20.2665,,
955,15.8718,16.9259,1.0541,50.7111525,,
972,4.8038,5.1542,0.3504,21.84186,,
1037,5.8513,6.1066,0.2553,17.9403825,,
1061,4.4842,5.0622,0.578,31.17915,,
1068,11.0898,11.8717,0.7819,39.5441475,,
1104,1.4213,1.7423,0.321,20.635725,,
1108,38.3078,39.3989,1.0911,52.2290775,,
1110,5.0652,5.5405,0.4753,26.9658825,,
1133,3.248,3.6552,0.4072,24.17208,,
1144,7.4888,7.8989,0.4101,24.2910525,,
1166,3.132,3.5623,0.4303,25.1197575,,
1195,4.2322,4.8007,0.5685,30.7894125,,
1226,1.7509,2.0952,0.3443,21.5916075,,
1240,26.937,27.4817,0.5447,29.8130175,,
1254,15.4024,15.913,0.5106,28.414065,,
1388,4.6908,5.7609,1.0701,51.3675525,,
1413,24.3388,25.0267,0.6879,35.6877975,,
1418,13.8581,14.6141,0.756,38.4816,,
1437,3.5108,4.1475,0.6367,33.5873175,,
1441,11.6999,12.8572,1.1573,54.9449325,,
1443,5.8852,6.5853,0.7001,36.1883025,,
1502,8.1238,8.7524,0.6286,33.255015,,
1526,11.8877,12.3287,0.441,25.558725,,
1556,6.7322,7.2486,0.5164,28.65201,,
1573,2.1943,2.5493,0.355,22.030575,,
1688,45.4858,47.1978,1.712,77.7015,,
1736,26.4124,27.5027,1.0903,52.1962575,,
1753,2.3161,2.9485,0.6324,33.41091,,
1771,2.8701,3.4317,0.5616,30.50634,,
1791,2.0528,2.3949,0.3421,21.5013525,,
1803,7.1465,7.8726,0.7261,37.2549525,,
1857,33.9487,35.1079,1.1592,55.02288,,
1895,9.2121,10.3368,1.1247,53.6075175,,
1943,23.7154,24.5884,0.873,43.281525,,
1982,13.376,14.4296,1.0536,50.69064,,
2001,8.6674,9.7175,1.0501,50.5470525,,
2018,2.1957,2.6113,0.4156,24.51669,,
2136,18.6621,19.9236,1.2615,59.2197375,,
2142,6.9444,8.0866,1.1422,54.325455,,
2214,14.1458,14.8453,0.6995,36.1636875,,
2226,4.0244,5.6551,1.6307,74.3661675,,
2284,1.8909,2.22,0.3291,20.9680275,,
2285,0.8102,1.0104,0.2002,15.679905,,
2286,6.2249,6.7283,0.5034,28.118685,,
2328,4.6326,5.15,0.5174,28.693035,,
2402,4.044,4.5413,0.4973,27.8684325,,
2424,36.6125,37.7655,1.153,54.768525,,
2629,11.543,12.1343,0.5913,31.7247825,,
2663,25.4188,26.9651,1.5463,70.9036575,,
2731,12.4325,13.2096,0.7771,39.3472275,,
2736,5.016,5.6904,0.6744,35.13396,,
2849,7.7643,8.1643,0.4,23.8767,,
2879,8.2766,9.4474,1.1708,55.49877,,
2893,6.1415,6.9304,0.7889,39.8313225,,
2911,10.0852,10.7125,0.6273,33.2016825,,
2948,20.5743,21.4138,0.8395,41.9071875,,
3025,5.1419,5.9082,0.7663,38.9041575,,
3035,2.0522,2.3038,0.2516,17.78859,,
3059,9.0375,10.233,1.1955,56.5120875,,
3081,7.3241,8.4215,1.0974,52.487535,,
3085,4.2308,4.8164,0.5856,31.49094,,
3086,3.0511,3.6348,0.5837,31.4129925,,
3137,6.4479,7.0972,0.6493,34.1042325,,
3149,1.1209,1.2265,0.1056,11.79894,,
3164,2.3585,2.6283,0.2698,18.535245,,
3204,3.3882,3.8773,0.4891,27.5320275,,
3224,7.3529,7.7951,0.4422,25.607955,,
3224,7.3532,7.7951,0.4419,25.5956475,,
3246,7.5015,7.7684,0.2669,18.4162725,,
3317,1.1405,1.3476,0.2071,15.9629775,,
3337,6.6331,7.1285,0.4954,27.790485,,
3340,6.358,7.0745,0.7165,36.8611125,,
3383,4.2243,4.565,0.3407,21.4439175,,
3422,12.0584,13.4018,1.3434,62.579685,,
3442,8.4267,9.1708,0.7441,37.9934025,,
3444,7.6441,8.1585,0.5144,28.56996,,
3458,4.036,4.4509,0.4149,24.4879725,,
3467,5.7513,6.2022,0.4509,25.9648725,,
3468,7.6798,8.4102,0.7304,37.43136,,
