Frag.ID,Rep1,Rep2
3484,0.323104167,0.208825
1226,3.188823333,0.91416
3515,0.031165833,0.001305
3486,0.580720833,0.028425
619,7.4388475,2.0066275
N132,1.57988,0.3519075
N84,11.83365333,3.613255
2948,1.341926667,-0.780185
377,7.807205833,1.860515
3489,1.287858333,0.307975
473,0.002750833,0.0036075
N212,1.178595,0.2911425
634,2.152668333,0.355965
N2,0.688056667,0.16686
N169,0.2335,0.0401125
N/A,0.024810833,0.03021
3467,7.177046667,1.92397
N102,0.646100833,0.142095
2879,1.261028333,0.3232175
231,12.2568825,3.18533
2731,0.353759167,0.1117075
N7,14.88927833,4.323255
2018,1.716171667,0.4251325
1061,0.961233333,-0.031925
1413,0.942283333,0.2900125
N64,1.982490833,0.3965675
N205,5.3329425,1.43192
1736,9.458946667,3.6123575
N47,11.87688833,3.30377
N9,2.173821667,0.420945
3480,1.3870025,0.3929975
335,5.128831667,0.988135
488,4.034248333,1.06241
1771,0.135339167,0.0735275
1526,0.4619025,0.1759475
775,0.180518333,0.121915
N107,10.76093667,2.761955
N21,2.3129175,0.49552
3470,9.07523,2.4078075
3444,3.7218725,0.639565
N/A,0.0299775,0.131635
2663,1.628695,0.7665925
3337,5.479910833,1.8535225
N19,13.33481083,3.89606
208,8.290095,2.4286175
915,3.7438125,1.3114875
3422,9.802240833,2.8065175
,-0.004091667,0.0931625
