Time.Point,Frag.ID,channel,round,chamber,surface_area,vol,Photo,Resp,PR
T0,49,4,2,4,50.0957775,248,0.000213267,-0.000107043,1.992345677
T0,148,6,6,6,32.4099,248,0.000149733,-0.000110409,1.356162696
T0,153,6,7,6,50.4075675,248,0.000218968,-0.000123252,1.776589587
T1,153,5,12,5,50.4075675,248,0.000247491,-0.000127222,1.945342807
T0,179,3,1,3,17.0132175,248,0.000143689,-0.00014129,1.016977636
T1,179,6,18,6,17.0132175,248,9.75E-05,-8.38E-05,1.163942855
T0,199,5,2,5,34.8426825,248,0.000181262,-0.00019374,0.935594952
T1,199,7,12,7,34.8426825,248,0.000335767,-0.000209914,1.599540553
T0,208,4,5,4,83.945505,248,0.000137144,-5.82E-05,2.354579162
T0,226,7,9,7,23.3474775,248,0.00056458,-0.00024168,2.336063339
T1,226,2,7,2,23.3474775,248,0.000136069,-0.000238617,0.570239312
T0,249,4,9,4,22.9782525,248,0.000233948,-0.000168019,1.392392011
T1,249,4,7,4,22.9782525,248,0.000181105,-0.000130967,1.382828749
T0,263,5,1,5,14.481975,248,0.000206938,-0.000148691,1.391729017
T0,284,5,3,5,25.4315475,248,0.000197779,-0.000131315,1.506140438
T0,284,7,11,7,25.4315475,248,0.000153244,-7.86E-05,1.949563605
T0,284,9,1,9,25.4315475,248,0.000104934,-0.000172403,0.608654934
T1,284,3,13,3,25.4315475,248,0.000166326,-0.000163822,1.015284431
T0,314,5,2,5,26.4325575,248,0.00020551,-0.000185167,1.109862476
T1,314,4,13,4,26.4325575,248,-6.59E-05,-7.13E-05,-0.925514598
T0,335,5,10,5,29.529945,248,0.000214957,-0.000108001,1.99033258
T1,335,3,1,3,29.529945,248,0.000162474,-7.45E-05,2.180059513
TF,335,4,1,4,29.529945,248,0.000187748,-5.49E-05,3.419962708
T0,377,4,8,4,29.907375,248,0.000251125,-0.000134985,1.860390437
T1,377,3,8,3,29.907375,248,0.000240275,-0.000122544,1.96072689
TF,377,4,4,4,29.907375,248,0.00025401,-9.74E-05,2.607073239
T1,403,7,9,7,57.0454125,248,8.51E-05,-0.000125026,0.681051942
TF,403,4,22,4,57.0454125,248,1.93E-05,-8.88E-05,0.216850915
T0,419,7,8,7,54.7480125,248,0.00025454,-0.000151563,1.679436464
T1,419,3,6,3,54.7480125,248,0.000229232,-0.000129712,1.767231883
T0,420,3,1,3,46.3625025,248,3.62E-05,-8.16E-05,0.443396151
T1,420,7,15,7,46.3625025,248,3.40E-05,-0.000100899,0.337163939
TF,420,4,19,4,46.3625025,248,0.000159239,-8.15E-05,1.953458087
T0,422,2,12,2,13.169175,248,0.00015056,-0.000115813,1.300022297
T0,422,8,4,8,13.169175,248,0.000154452,-0.000146388,1.05508537
T1,422,5,18,5,13.169175,248,3.08E-05,-0.000174382,0.176479701
TF,422,5,13,5,13.169175,248,0.000285515,-0.0001517,1.882100678
T0,428,3,5,3,34.8755025,248,0.000167884,-8.61E-05,1.94885037
T1,428,7,2,7,34.8755025,248,7.67E-05,-7.15E-05,1.072479796
T0,431,3,3,3,41.295915,248,0.000170153,-0.000116576,1.459584219
T1,431,5,17,5,41.295915,248,3.80E-05,-7.23E-05,0.525811489
T0,436,5,1,5,27.3515175,248,0.000152219,-0.000135046,1.127168169
T1,436,2,14,2,27.3515175,248,6.45E-05,-0.000136689,0.471620103
T0,471,2,8,2,24.820275,248,0.00012752,-0.000140199,0.909564944
T1,471,4,9,4,24.820275,248,7.79E-05,-0.000127058,0.613308183
T0,473,8,9,8,36.9923925,248,0.00021725,-0.000144356,1.504960276
T1,473,6,6,6,36.9923925,248,-5.28E-05,-8.76E-05,-0.602363377
TF,473,5,10,5,36.9923925,248,2.39E-05,-2.80E-05,0.854355608
T0,477,2,12,2,38.8713375,248,8.13E-05,-7.54E-05,1.07794766
T1,477,2,3,2,38.8713375,248,0.000233948,-5.09E-05,4.598797319
T1,477,2,3,2,38.8713375,248,6.46E-06,-7.45E-05,0.086638156
TF,477,4,3,4,38.8713375,248,6.49E-05,-1.80E-05,3.602624584
T0,488,4,4,4,79.7896725,248,0.000176721,-7.33E-05,2.410063422
T0,490,4,2,4,48.34401,248,0.00014493,-9.81E-05,1.477013809
T1,490,2,15,2,48.34401,248,-5.55E-05,-4.36E-05,-1.273173195
T0,554,7,5,7,35.3760075,248,0.000208024,-0.000114665,1.814184496
T1,554,5,1,5,35.3760075,248,0.000193975,-0.000131169,1.478813528
T0,579,8,9,8,62.8873725,248,0.000350933,-0.00019057,1.841488027
T1,579,5,11,5,62.8873725,248,0.000245803,-0.000165346,1.486595535
TF,579,5,23,BEAKER500ML,62.8873725,660,0.000199334,-0.00013943,1.429630062
T0,616,5,2,5,62.34174,248,0.000238091,-9.68E-05,2.460819774
T0,619,2,2,2,49.714245,248,0.000189915,-0.000109355,1.736682646
T1,619,5,18,5,49.714245,248,0.000126021,-7.57E-05,1.665566944
TF,619,2,16,2,49.714245,248,0.000319406,-0.000130032,2.456367236
T0,634,5,1,5,15.597855,248,0.00012106,-0.000148292,0.81636529
T1,634,3,18,3,15.597855,248,-2.51E-05,-9.14E-05,-0.274173169
TF,634,5,20,5,15.597855,248,0.000327141,-0.000152195,2.14948668
T0,650,8,9,8,42.7276875,248,0.000307517,-0.00019576,1.570892886
T1,650,3,5,3,42.7276875,248,0.000203287,-0.000153339,1.325736549
T0,664,5,8,5,211.0696725,248,3.17E-05,-2.49E-05,1.272970562
T1,664,7,4,7,211.0696725,248,1.95E-05,-2.22E-05,0.880924111
T0,670,2,9,2,22.5515925,248,0.000290879,-0.000121614,2.391825747
T1,670,7,5,7,22.5515925,248,0.000196756,-9.27E-05,2.121385542
T0,755,3,4,3,32.6929725,248,7.36E-05,-9.05E-05,0.812654355
T0,761,3,4,3,106.76361,248,0.000153884,-0.000101819,1.511348109
T1,761,6,1,6,106.76361,248,9.00E-05,-0.000104395,0.861972738
T0,775,4,8,4,39.3390225,248,6.70E-05,-7.41E-05,0.905432504
T1,775,8,4,8,39.3390225,248,3.15E-05,-4.89E-05,0.642768669
TF,775,5,9,5,39.3390225,248,9.12E-05,-2.01E-05,4.527873851
T0,779,5,9,5,23.1341475,248,9.07E-05,-0.000107695,0.84225187
T1,779,2,10,2,23.1341475,248,4.01E-05,-0.000119805,0.334885071
TF,779,5,9,5,23.1341475,248,0.000105618,-8.72E-05,1.211704216
T0,785,7,6,7,57.3572025,248,0.000263052,-0.000178879,1.470563204
T1,785,7,1,7,57.3572025,248,0.000139686,-0.000169223,0.825454975
T0,797,4,6,4,24.0449025,248,0.000156977,-0.000101163,1.551728266
T1,797,3,4,3,24.0449025,248,0.000188858,-0.00010076,1.874337206
T0,809,8,6,8,34.7114025,248,0.000236207,-0.000203705,1.159555565
T1,809,7,16,7,34.7114025,248,0.000382035,-0.000185086,2.064094882
T0,832,2,4,2,18.518835,248,0.000213597,-0.000150435,1.419861384
T1,832,4,2,4,18.518835,248,0.00015033,-0.000128696,1.168101413
TF,832,5,1,5,18.518835,248,0.000160397,-0.000102345,1.567226795
T0,840,7,12,7,19.0808775,248,0.000161321,-9.69E-05,1.664349358
T1,840,5,2,5,19.0808775,248,0.00012897,-8.50E-05,1.517890071
TF,840,2,1,2,19.0808775,248,0.000126879,-2.47E-05,5.132092986
T0,848,7,7,7,29.365845,248,0.000280878,-0.000137799,2.038313487
T1,848,7,6,7,29.365845,248,0.000380979,-0.000166179,2.292586034
T0,914,6,8,6,18.70755,248,0.000265942,-0.000113962,2.333595187
T0,915,5,5,5,47.1912075,248,0.000165373,-0.00013716,1.20569613
T0,946,2,6,2,20.2665,248,0.000152695,-0.000154913,0.985683924
T1,946,7,8,7,20.2665,248,5.42E-05,-0.000170907,0.317001333
T0,955,5,8,5,50.7111525,248,0.000218409,-0.000147605,1.479685113
T1,955,3,12,3,50.7111525,248,0.000108539,-0.000130627,0.830913744
T0,972,7,11,7,21.84186,248,0.000373457,-0.000291718,1.280196934
T1,972,6,1,6,21.84186,248,0.000119222,-0.000131623,0.905786803
TF,972,2,6,2,21.84186,248,0.000495632,-0.000178224,2.780944863
T0,1037,7,9,7,17.9403825,248,0.000174218,-0.000116813,1.491424651
T1,1037,2,11,2,17.9403825,248,0.000101031,-0.000142139,0.710790529
TF,1037,4,12,4,17.9403825,248,0.000221078,-0.000109382,2.02115045
T0,1061,3,9,3,31.17915,248,0.000141892,-0.000110563,1.283361682
T1,1061,3,7,3,31.17915,248,5.39E-05,-8.53E-05,0.631496261
TF,1061,5,4,5,31.17915,248,0.000106559,-9.13E-05,1.167544564
T0,1068,3,4,3,39.5441475,248,0.000166487,-0.000128512,1.295499309
T1,1068,6,8,6,39.5441475,248,7.22E-05,-5.29E-05,1.362808658
T0,1104,2,1,2,20.635725,248,0.000105431,-0.000141629,0.744414477
T1,1104,7,14,7,20.635725,248,7.32E-05,-0.000172293,0.42503572
TF,1104,4,18,4,20.635725,248,0.000324324,-0.00011087,2.925253236
T0,1108,8,10,8,52.2290775,248,0.000226076,-0.000129002,1.752501366
T0,1110,7,6,7,26.9658825,248,0.000288829,-0.000201084,1.436357394
