Plate Name,Experiment Name,Specimen Name,Sample Name,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A1,Default,Global,All Events,Global,Global,"77,568",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,"1,551.36"
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"7,488",Disabled,Disabled,"1,391,689.13","1,951,645.50","859,746.50","1,778,357.00",Disabled,Disabled,96.40%,48.05%,149.76
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A1,Default,BL3-H vs Count,R1,BL3-H,Count,"3,091",Disabled,Disabled,"3,022,263.00",---,"2,789,704.00",---,Disabled,Disabled,26.83%,---,61.82
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A2,Default,Global,All Events,Global,Global,"32,834",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,670.081633
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A2,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"7,283",Disabled,Disabled,"994,509.94","2,092,089.00","623,487.00","1,962,710.00",Disabled,Disabled,92.40%,42.98%,148.632653
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A2,Default,BL3-H vs Count,R1,BL3-H,Count,"3,330",Disabled,Disabled,"2,974,221.75",---,"2,798,143.00",---,Disabled,Disabled,24.49%,---,67.959184
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A3,Default,Global,All Events,Global,Global,"258,421",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,"1,914.23"
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A3,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"26,850",Disabled,Disabled,"1,121,393.38","2,545,494.25","837,699.50","2,321,092.50",Disabled,Disabled,85.60%,46.52%,198.888889
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A3,Default,BL3-H vs Count,R1,BL3-H,Count,"16,940",Disabled,Disabled,"3,336,643.25",---,"3,104,991.50",---,Disabled,Disabled,28.88%,---,125.481481
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A4,Default,Global,All Events,Global,Global,"86,077",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,637.607407
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A4,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,029",Disabled,Disabled,"1,192,755.63","3,083,271.00","901,155.00","2,849,736.00",Disabled,Disabled,85.32%,49.37%,22.437037
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A4,Default,BL3-H vs Count,R1,BL3-H,Count,"2,338",Disabled,Disabled,"3,612,238.50",---,"3,389,351.00",---,Disabled,Disabled,30.18%,---,17.318519
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A5,Default,Global,All Events,Global,Global,"46,243",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,345.097015
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A5,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"5,327",Disabled,Disabled,"886,324.50","2,180,962.25","593,756.00","2,158,283.00",Disabled,Disabled,96.22%,48.12%,39.753731
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A5,Default,BL3-H vs Count,R1,BL3-H,Count,"2,797",Disabled,Disabled,"3,009,392.50",---,"2,852,498.00",---,Disabled,Disabled,23.56%,---,20.873134
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A6,Default,Global,All Events,Global,Global,"38,937",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,290.574627
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A6,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"3,546",Disabled,Disabled,"1,103,557.38","2,419,783.50","574,640.50","2,397,402.00",Disabled,Disabled,108.07%,47.66%,26.462687
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A6,Default,BL3-H vs Count,R1,BL3-H,Count,"2,403",Disabled,Disabled,"3,147,771.00",---,"2,928,937.00",---,Disabled,Disabled,26.80%,---,17.932836
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A7,Default,Global,All Events,Global,Global,"171,545",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,"1,280.19"
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A7,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"17,143",Disabled,Disabled,"1,255,437.38","2,035,787.25","808,525.00","1,843,468.00",Disabled,Disabled,93.76%,48.48%,127.932836
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A7,Default,BL3-H vs Count,R1,BL3-H,Count,"7,377",Disabled,Disabled,"3,052,739.50",---,"2,837,508.00",---,Disabled,Disabled,26.79%,---,55.052239
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A8,Default,Global,All Events,Global,Global,"96,870",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,717.555556
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A8,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"23,010",Disabled,Disabled,"691,767.25","3,428,514.00","537,329.00","3,323,402.00",Disabled,Disabled,98.95%,36.54%,170.444444
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A8,Default,BL3-H vs Count,R1,BL3-H,Count,"20,236",Disabled,Disabled,"3,646,990.75",---,"3,517,594.50",---,Disabled,Disabled,26.71%,---,149.896296
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A9,Default,Global,All Events,Global,Global,"207,257",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,"1,546.69"
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A9,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"8,830",Disabled,Disabled,"1,098,876.00","3,330,763.25","778,987.50","3,176,375.50",Disabled,Disabled,94.93%,47.46%,65.895522
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A9,Default,BL3-H vs Count,R1,BL3-H,Count,"7,252",Disabled,Disabled,"3,699,719.50",---,"3,536,717.50",---,Disabled,Disabled,28.69%,---,54.119403
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A10,Default,Global,All Events,Global,Global,"153,871",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,"1,139.79"
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A10,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"29,703",Disabled,Disabled,"542,998.56","2,703,925.00","384,481.00","2,638,874.00",Disabled,Disabled,96.81%,40.16%,220.022222
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A10,Default,BL3-H vs Count,R1,BL3-H,Count,"20,628",Disabled,Disabled,"3,221,488.00",---,"3,078,508.00",---,Disabled,Disabled,24.79%,---,152.8
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A11,Default,Global,All Events,Global,Global,"36,956",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,275.791045
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A11,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"5,100",Disabled,Disabled,"828,262.19","2,406,155.25","520,689.00","2,294,854.00",Disabled,Disabled,98.95%,42.09%,38.059701
Standard.Curves.Dec.13.Run1,Samples,p.acuta,A11,Default,BL3-H vs Count,R1,BL3-H,Count,"3,082",Disabled,Disabled,"3,073,284.75",---,"2,871,825.00",---,Disabled,Disabled,25.40%,---,23
Standard.Curves.Dec.13.Run1,Samples,p.varians,B1,Default,Global,All Events,Global,Global,"31,636",Disabled,Disabled,0,0,---,---,Disabled,Disabled,---,---,236.089552
Standard.Curves.Dec.13.Run1,Samples,p.varians,B1,Default,VL3-A vs BL3-H,Symbiodinium,VL3-A,BL3-H,"14,620",Disabled,Disabled,"533,094.13","3,811,138.75","387,875.50","3,666,040.00",Disabled,Disabled,119.26%,47.23%,109.104478
