ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
87073	C	C27	None	38	104	C27-C3-C21-C27a	25883-32-41-25896	0.870[0.019]-0.066[0.011]-0.047[0.009]-0.017[0.011]
87706	C	C15	None	31	56	C15-C15ci-C15n-C15cj-C15cc-C15cl-C15l	517-70877-70879-519-6417-70882-518	0.711[0.017]-0.076[0.011]-0.050[0.012]-0.047[0.007]-0.047[0.012]-0.040[0.017]-0.028[0.005]
87731	C	C15	None	31	151	C15-C15ci-C15cj-C15cm-C15ch-C15n-C15ck	517-70877-70879-519-70883-3419-70880	0.728[0.020]-0.096[0.011]-0.056[0.010]-0.036[0.007]-0.033[0.007]-0.027[0.003]-0.024[0.005]
87130	C	C31	None	21	97	C31-C17d-C31.1-C31a-C21-C17e-C21ac	62831-49066-62833-41-70819-70818-38924	0.583[0.057]-0.130[0.032]-0.087[0.023]-0.076[0.037]-0.060[0.007]-0.032[0.010]-0.032[0.009]
87746	C	C1d	S. goreaui	20	88	C1d/C42.2/C1-C1k-C1b	106-1-2-4-109	0.850[0.051]-0.069[0.021]-0.059[0.022]-0.014[0.008]-0.008[0.002]
87143	C	C1d	S. goreaui	14	63	C1d/C42.2/C1	106-1-2	0.935[0.011]-0.035[0.007]-0.030[0.005]
87823	C	C31	None	10	25	C31/C17d-C21-C31.9-C31h-C31i-C21ac	62831-49066-41-38924-471943-62836-70991	0.496[0.030]-0.248[0.010]-0.111[0.027]-0.049[0.017]-0.034[0.011]-0.034[0.003]-0.027[0.009]
87232	C	C1	S. goreaui	9	21	C1/C1b-C1u-C3-C1bo	2-4-6276-32-11962	0.413[0.027]-0.297[0.007]-0.174[0.015]-0.082[0.006]-0.034[0.004]
87277	C	C42.2	S. goreaui	9	91	C42.2/C1-C1b-C3-C1au	1-2-4-20-32	0.471[0.062]-0.360[0.036]-0.107[0.024]-0.032[0.009]-0.030[0.008]
87732	C	C31	None	8	168	C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f	62831-49066-41-38924-70819-62836-70818-70820	0.466[0.054]-0.263[0.056]-0.116[0.007]-0.045[0.007]-0.037[0.025]-0.031[0.011]-0.025[0.010]-0.018[0.013]
87721	C	C1	S. goreaui	7	132	C1/C3-C1c-C1b-C72k-C42.2	2-308-4-835-32-1	0.794[0.003]-0.118[0.003]-0.034[0.004]-0.024[0.002]-0.022[0.001]-0.009[0.001]
87733	C	C17d/C31	None	7	52	C17d/C31-C21-C21ac-C17e-C17f-C31.9	49066/62831-41-38924-70818-70820-62836	0.374[0.045]/0.358[0.059]-0.127[0.018]-0.044[0.007]-0.038[0.004]-0.033[0.003]-0.027[0.013]
87409	C	C31	None	7	15	C31-C17d-C21-C31a-C21ac-C31g	62831-49066-70819-41-38924-70839	0.473[0.007]-0.176[0.011]-0.133[0.004]-0.111[0.005]-0.056[0.003]-0.051[0.004]
87747	C	C1d	None	6	10	C1d-C1df-C42.2-C1	106-270513-1-2	0.811[0.263]-0.082[0.079]-0.059[0.104]-0.049[0.081]
87408	C	C31	None	5	5	C31-C17d-C21-C21ac-C31.1-C31a	62831-49066-41-38924-62833-70819	0.521[0.007]-0.178[0.004]-0.119[0.003]-0.064[0.003]-0.059[0.003]-0.059[0.002]
87697	C	C1	S. goreaui	4	62	C1/C3-C1c-C1b-C1w-C42.2	2-4-32-833-308-1	0.714[0.011]-0.078[0.006]-0.066[0.005]-0.059[0.005]-0.058[0.004]-0.026[0.001]
87410	C	C1d	None	4	4	C1d-C42.2-C1ag-C1k-C42ax-C42ay-C1	106-1-301-109-130-111-2	0.327[0.022]-0.293[0.018]-0.186[0.003]-0.054[0.009]-0.049[0.003]-0.048[0.005]-0.042[0.002]
87720	C	C1	S. goreaui	3	85	C1/C1c-C1b-C1al-C72k	2-308-4-828-835	0.789[0.003]-0.121[0.004]-0.035[0.006]-0.032[0.001]-0.023[0.001]
87285	C	C1d/C42.2	S. goreaui	3	383	C1/C1d/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	106/1-2-108-4-5-32-20-117-118	0.476[0.393]/0.185[0.165]-0.174[0.135]-0.052[0.023]-0.047[0.032]-0.018[0.008]-0.015[0.014]-0.014[0.015]-0.012[0.001]-0.007[0.003]
87320	C	C15	None	2	31	C15-C15n	517-519	0.916[0.039]-0.084[0.039]
87257	C	C1/C3	S. goreaui	2	155	C1/C3		0.534[0.132]/0.466[0.132]
87776	C	C1/C15	S. goreaui	2	28	C15/C1/C3/C1b	2/517-4-32	0.485[0.262]/0.279[0.110]-0.161[0.129]-0.076[0.023]
87425	C	C31	None	1	7	C31/C17d-C31.1	62831-62833-49066	0.676[nan]-0.231[nan]-0.093[nan]
87435	C	C31	None	1	27	C31/C17d	62831-49066	0.716[nan]-0.284[nan]
87436	C	C1d	None	1	14	C1d/C31	106-62831	0.870[nan]-0.130[nan]
87327	C	C15h	None	1	36	C15h/C15	1584-517	0.944[nan]-0.056[nan]
87384	C	C31	None	1	14	C15/C31/C17d-C21-C15cl	62831-517-49066-70882-41	0.463[nan]-0.343[nan]-0.134[nan]-0.030[nan]-0.030[nan]
87388	C	C31	None	1	28	C31/C17d-C21-C21ac-C31.9	62831-49066-41-38924-62836	0.544[nan]-0.275[nan]-0.115[nan]-0.042[nan]-0.024[nan]
87786	C	C42.2	S. goreaui	1	78	C1/C42.2/C3cg/C1j-C1b-C3-C1au-C45c-C115k	1-2-4-108-5-20-32-117-15	0.497[nan]-0.280[nan]-0.084[nan]-0.059[nan]-0.021[nan]-0.021[nan]-0.017[nan]-0.011[nan]-0.010[nan]
87149	C	C15h	None	1	42	C15h	1584	1.000[nan]
